p,superoperator_difference
0.01,1.2643861424099487e-18
0.02,2.4544670598653844e-18
0.03,4.908934119730769e-18
0.04,0.0
0.05,6.133173666733497e-19
0.06,6.133173666733497e-19
0.07,3.0665868333667484e-19
0.08,1.2266347333466993e-18
0.09,1.2266347333466993e-18
0.1,1.9664450707978083e-17
