p,scenario,trials,n_transmissions_per_trial,mean_conclusive_fraction,exact_conclusive_probability,difference_conclusive,mean_qber,std_qber,ci95_low,ci95_high,exact_qber,difference_from_exact,ci_contains_exact
0.05,dual,50,1000,0.27804,0.27833333333333315,-0.0002933333333331456,0.09936304606201102,0.018084084255033057,0.09435039364756417,0.10437569847645786,0.10179640718562867,-0.0024333611236176528,True
0.06,dual,50,1000,0.28426,0.2837999999999999,0.000460000000000127,0.11745497029523967,0.01905825285954041,0.1121722921200965,0.12273764847038285,0.11909795630725867,-0.001642986012018996,True
0.07,dual,50,1000,0.29294,0.28919999999999985,0.003740000000000132,0.13515674684193052,0.02106654502761971,0.12931739847861148,0.14099609520524956,0.13554633471645916,-0.00038958787452864074,True
0.08,dual,50,1000,0.29528000000000004,0.29453333333333326,0.0007466666666667843,0.14977171793544358,0.02041875801699825,0.14411192697061073,0.15543150890027643,0.15119963784517879,-0.0014279199097352036,True
0.09,dual,50,1000,0.29876,0.29979999999999996,-0.0010399999999999299,0.1638112910396684,0.022433089742460874,0.1575931558067631,0.1700294262725737,0.16611074049366242,-0.002299449453994018,True
0.1,dual,50,1000,0.30632000000000004,0.3049999999999998,0.00132000000000021,0.181570867170317,0.02690860400065426,0.17411218267675557,0.18902955166387844,0.180327868852459,0.0012429983178580128,True
0.01,triple,50,1000,0.25646,0.25513918510171313,0.0013208148982868928,0.02368940366633545,0.008926002563199318,0.021215241985335368,0.02616356534733553,0.025041959349231556,-0.001352555682896106,True
0.02,triple,50,1000,0.25904000000000005,0.2601405658070424,-0.0011005658070423752,0.050169788813119974,0.014299666794593246,0.0462061234003273,0.05413345422591265,0.048591290511832266,0.0015784983012877077,True
0.03,triple,50,1000,0.26276,0.2650048839957399,-0.0022448839957399103,0.07169748563549024,0.018179043341353947,0.06665851190520526,0.07673645936577521,0.07077184281645711,0.0009256428190331234,True
0.04,triple,50,1000,0.26908,0.26973288666760176,-0.0006528866676017708,0.09011658564186789,0.017743558549283164,0.08519832213741706,0.09503484914631873,0.09169399761802415,-0.0015774119761562538,True
0.05,triple,50,1000,0.27448,0.2743253260461723,0.00015467395382767757,0.11422485427980447,0.021081439228259734,0.10838137745469845,0.1200683311049105,0.11145644657331528,0.002768407706489187,True
0.06,triple,50,1000,0.2762,0.2787829596858934,-0.0025829596858933934,0.13212913925988853,0.019881842738827756,0.12661817361722957,0.1376401049025475,0.13014769527798165,0.0019814439819068885,True
0.07,triple,50,1000,0.28162000000000004,0.28310655058285517,-0.0014865505828551284,0.1490934046808391,0.01684430400762978,0.14442440181827929,0.1537624075433989,0.14784734050371398,0.0012460641771251113,True
0.08,triple,50,1000,0.28888,0.28729686728931997,0.0015831327106800575,0.16058471805730978,0.019994672298553822,0.15504247765630497,0.1661269584583146,0.16462715982799106,-0.0040424417706812765,True
0.09,triple,50,1000,0.29124,0.29135468403219145,-0.00011468403219144774,0.18154982822269616,0.020169404439730018,0.17595915454317992,0.1871405019022124,0.18055204503380926,0.0009977831888869082,True
0.1,triple,50,1000,0.29436,0.295280780835622,-0.0009207808356219704,0.19685380051028298,0.02231409545271001,0.19066864881170617,0.20303895220885979,0.1956808047991031,0.001172995711179875,True
