p,scenario,trial,seed,n_transmissions,conclusive_count,conclusive_fraction,qber,exact_qber,difference_from_exact,exact_conclusive_probability,difference_conclusive
0.01,single,35,2471128011,1000,255,0.255,0.011764705882352941,0.013157894736842044,-0.0013931888544891028,0.25333333333333324,0.0016666666666667607
0.01,single,36,1832727808,1000,247,0.247,0.024291497975708502,0.013157894736842044,0.011133603238866458,0.25333333333333324,-0.0063333333333332464
0.01,single,37,3133942954,1000,245,0.245,0.0163265306122449,0.013157894736842044,0.0031686358754028556,0.25333333333333324,-0.008333333333333248
0.01,single,38,354628393,1000,275,0.275,0.01818181818181818,0.013157894736842044,0.005023923444976137,0.25333333333333324,0.02166666666666678
0.01,single,39,166229008,1000,276,0.276,0.021739130434782608,0.013157894736842044,0.008581235697940564,0.25333333333333324,0.02266666666666678
0.01,single,40,2103724397,1000,247,0.247,0.008097165991902834,0.013157894736842044,-0.00506072874493921,0.25333333333333324,-0.0063333333333332464
0.01,single,41,985895910,1000,242,0.242,0.004132231404958678,0.013157894736842044,-0.009025663331883366,0.25333333333333324,-0.011333333333333251
0.01,single,42,210052860,1000,240,0.24,0.0125,0.013157894736842044,-0.0006578947368420431,0.25333333333333324,-0.013333333333333253
0.01,single,43,3678229999,1000,266,0.266,0.015037593984962405,0.013157894736842044,0.0018796992481203614,0.25333333333333324,0.01266666666666677
0.01,single,44,3842146260,1000,242,0.242,0.01652892561983471,0.013157894736842044,0.0033710308829926674,0.25333333333333324,-0.011333333333333251
0.01,single,45,960553196,1000,262,0.262,0.007633587786259542,0.013157894736842044,-0.005524306950582502,0.25333333333333324,0.008666666666666767
0.01,single,46,704486853,1000,276,0.276,0.010869565217391304,0.013157894736842044,-0.0022883295194507398,0.25333333333333324,0.02266666666666678
0.01,single,47,1169011392,1000,260,0.26,0.007692307692307693,0.013157894736842044,-0.005465587044534351,0.25333333333333324,0.006666666666666765
0.01,single,48,2314466324,1000,270,0.27,0.022222222222222223,0.013157894736842044,0.00906432748538018,0.25333333333333324,0.016666666666666774
0.01,single,49,1852065566,1000,239,0.239,0.02092050209205021,0.013157894736842044,0.0077626073552081645,0.25333333333333324,-0.014333333333333254
0.01,single,50,119522576,1000,244,0.244,0.012295081967213115,0.013157894736842044,-0.0008628127696289293,0.25333333333333324,-0.009333333333333249
0.02,single,1,3723173645,1000,287,0.287,0.041811846689895474,0.025974025974026062,0.01583782071586941,0.25666666666666665,0.030333333333333323
0.02,single,2,2641043150,1000,259,0.259,0.03088803088803089,0.025974025974026062,0.004914004914004826,0.25666666666666665,0.002333333333333354
0.02,single,3,3794439068,1000,270,0.27,0.018518518518518517,0.025974025974026062,-0.007455507455507545,0.25666666666666665,0.013333333333333364
0.02,single,4,2683992601,1000,275,0.275,0.01818181818181818,0.025974025974026062,-0.0077922077922078815,0.25666666666666665,0.018333333333333368
0.02,single,5,2823034532,1000,257,0.257,0.027237354085603113,0.025974025974026062,0.0012633281115770507,0.25666666666666665,0.00033333333333335213
0.02,single,6,845128285,1000,240,0.24,0.016666666666666666,0.025974025974026062,-0.009307359307359396,0.25666666666666665,-0.016666666666666663
0.02,single,7,3393580921,1000,244,0.244,0.03278688524590164,0.025974025974026062,0.006812859271875579,0.25666666666666665,-0.01266666666666666
0.02,single,8,471582649,1000,252,0.252,0.015873015873015872,0.025974025974026062,-0.01010101010101019,0.25666666666666665,-0.004666666666666652
0.02,single,9,1108886299,1000,261,0.261,0.019157088122605363,0.025974025974026062,-0.0068169378514207,0.25666666666666665,0.004333333333333356
0.02,single,10,2956071872,1000,274,0.274,0.025547445255474453,0.025974025974026062,-0.0004265807185516099,0.25666666666666665,0.017333333333333367
0.02,single,11,2070053752,1000,251,0.251,0.02390438247011952,0.025974025974026062,-0.002069643503906541,0.25666666666666665,-0.005666666666666653
0.02,single,12,1322647490,1000,267,0.267,0.02247191011235955,0.025974025974026062,-0.0035021158616665125,0.25666666666666665,0.010333333333333361
0.02,single,13,2448185354,1000,276,0.276,0.036231884057971016,0.025974025974026062,0.010257858083944953,0.25666666666666665,0.01933333333333337
0.02,single,14,151598944,1000,250,0.25,0.032,0.025974025974026062,0.006025974025973938,0.25666666666666665,-0.006666666666666654
0.02,single,15,1542500675,1000,236,0.236,0.00847457627118644,0.025974025974026062,-0.01749944970283962,0.25666666666666665,-0.020666666666666667
0.02,single,16,4028098955,1000,275,0.275,0.02909090909090909,0.025974025974026062,0.0031168831168830284,0.25666666666666665,0.018333333333333368
0.02,single,17,2534541868,1000,266,0.266,0.015037593984962405,0.025974025974026062,-0.010936431989063657,0.25666666666666665,0.00933333333333336
0.02,single,18,2629310128,1000,262,0.262,0.026717557251908396,0.025974025974026062,0.0007435312778823339,0.25666666666666665,0.005333333333333357
0.02,single,19,1387450231,1000,281,0.281,0.028469750889679714,0.025974025974026062,0.0024957249156536514,0.25666666666666665,0.024333333333333373
0.02,single,20,2720509223,1000,219,0.219,0.0228310502283105,0.025974025974026062,-0.0031429757457155615,0.25666666666666665,-0.037666666666666654
0.02,single,21,1252077329,1000,260,0.26,0.019230769230769232,0.025974025974026062,-0.006743256743256831,0.25666666666666665,0.003333333333333355
0.02,single,22,3319128139,1000,255,0.255,0.0196078431372549,0.025974025974026062,-0.006366182836771161,0.25666666666666665,-0.0016666666666666496
0.02,single,23,2320478818,1000,263,0.263,0.026615969581749048,0.025974025974026062,0.0006419436077229855,0.25666666666666665,0.0063333333333333575
0.02,single,24,2163853851,1000,247,0.247,0.024291497975708502,0.025974025974026062,-0.0016825279983175602,0.25666666666666665,-0.009666666666666657
0.02,single,25,3731642948,1000,256,0.256,0.0390625,0.025974025974026062,0.013088474025973938,0.25666666666666665,-0.0006666666666666488
0.02,single,26,415521011,1000,264,0.264,0.03787878787878788,0.025974025974026062,0.011904761904761817,0.25666666666666665,0.007333333333333358
0.02,single,27,255653785,1000,255,0.255,0.0196078431372549,0.025974025974026062,-0.006366182836771161,0.25666666666666665,-0.0016666666666666496
0.02,single,28,622616073,1000,290,0.29,0.03793103448275862,0.025974025974026062,0.011957008508732558,0.25666666666666665,0.033333333333333326
0.02,single,29,1809422547,1000,248,0.248,0.028225806451612902,0.025974025974026062,0.00225178047758684,0.25666666666666665,-0.008666666666666656
0.02,single,30,3288045535,1000,274,0.274,0.0364963503649635,0.025974025974026062,0.010522324390937438,0.25666666666666665,0.017333333333333367
0.02,single,31,1931701317,1000,259,0.259,0.023166023166023165,0.025974025974026062,-0.0028080028080028976,0.25666666666666665,0.002333333333333354
0.02,single,32,3829746650,1000,252,0.252,0.03968253968253968,0.025974025974026062,0.013708513708513618,0.25666666666666665,-0.004666666666666652
0.02,single,33,2961908296,1000,249,0.249,0.024096385542168676,0.025974025974026062,-0.0018776404318573865,0.25666666666666665,-0.007666666666666655
0.02,single,34,4178237558,1000,253,0.253,0.011857707509881422,0.025974025974026062,-0.01411631846414464,0.25666666666666665,-0.0036666666666666514
0.02,single,35,2310982475,1000,271,0.271,0.007380073800738007,0.025974025974026062,-0.018593952173288054,0.25666666666666665,0.014333333333333365
0.02,single,36,4156143781,1000,281,0.281,0.028469750889679714,0.025974025974026062,0.0024957249156536514,0.25666666666666665,0.024333333333333373
0.02,single,37,1675341381,1000,263,0.263,0.022813688212927757,0.025974025974026062,-0.003160337761098305,0.25666666666666665,0.0063333333333333575
0.02,single,38,221137591,1000,239,0.239,0.012552301255230125,0.025974025974026062,-0.013421724718795937,0.25666666666666665,-0.017666666666666664
0.02,single,39,1168574489,1000,267,0.267,0.04119850187265917,0.025974025974026062,0.01522447589863311,0.25666666666666665,0.010333333333333361
0.02,single,40,1409022289,1000,267,0.267,0.0299625468164794,0.025974025974026062,0.003988520842453339,0.25666666666666665,0.010333333333333361
0.02,single,41,2304910272,1000,240,0.24,0.03333333333333333,0.025974025974026062,0.00735930735930727,0.25666666666666665,-0.016666666666666663
0.02,single,42,257434787,1000,250,0.25,0.004,0.025974025974026062,-0.021974025974026062,0.25666666666666665,-0.006666666666666654
0.02,single,43,2372678041,1000,273,0.273,0.047619047619047616,0.025974025974026062,0.021645021645021554,0.25666666666666665,0.016333333333333366
0.02,single,44,1053743944,1000,236,0.236,0.012711864406779662,0.025974025974026062,-0.0132621615672464,0.25666666666666665,-0.020666666666666667
0.02,single,45,259061022,1000,247,0.247,0.020242914979757085,0.025974025974026062,-0.005731110994268977,0.25666666666666665,-0.009666666666666657
0.02,single,46,2281256613,1000,254,0.254,0.027559055118110236,0.025974025974026062,0.0015850291440841734,0.25666666666666665,-0.0026666666666666505
0.02,single,47,1297089904,1000,259,0.259,0.04247104247104247,0.025974025974026062,0.016497016497016407,0.25666666666666665,0.002333333333333354
0.02,single,48,3112933094,1000,277,0.277,0.02527075812274368,0.025974025974026062,-0.0007032678512823819,0.25666666666666665,0.02033333333333337
0.02,single,49,457150351,1000,261,0.261,0.038314176245210725,0.025974025974026062,0.012340150271184663,0.25666666666666665,0.004333333333333356
0.02,single,50,3737595077,1000,253,0.253,0.019762845849802372,0.025974025974026062,-0.0062111801242236905,0.25666666666666665,-0.0036666666666666514
