p,scenario,trials,num_pairs_per_trial,mean_qber,std_qber,ci95_qber_low,ci95_qber_high,mean_chsh,std_chsh,ci95_chsh_low,ci95_chsh_high,exact_chsh,difference_from_exact_chsh,mean_sifted_length,secure_fraction
0.01,triple,50,1000,0.029985550470631454,0.010210499794674515,0.02715534432213712,0.03281575661912579,2.6597396229955503,0.0,2.6597396229955503,2.6597396229955503,2.6597396229955503,0.0,223.44,1.0
0.02,triple,50,1000,0.04413047450696546,0.010421782621518381,0.041241703746784174,0.04701924526714674,2.5774172413947474,0.0,2.5774172413947474,2.5774172413947474,2.5774172413947474,0.0,223.9,1.0
0.03,triple,50,1000,0.05687239560689326,0.016702867848937486,0.052242596847364646,0.06150219436642187,2.4965990245924727,0.0,2.4965990245924727,2.4965990245924727,2.4965990245924727,0.0,222.66,1.0
0.04,triple,50,1000,0.07296093539095047,0.017100181357595008,0.06822100694554019,0.07770086383636075,2.417276774790923,0.0,2.417276774790923,2.417276774790923,2.417276774790923,0.0,225.08,1.0
0.05,triple,50,1000,0.08507126048021724,0.018790114758715254,0.07986290639467414,0.09027961456576034,2.339442236865329,4.485978453382215e-16,2.339442236865329,2.339442236865329,2.3394422368653296,-4.440892098500626e-16,219.56,1.0
0.060000000000000005,triple,50,1000,0.10096010070497796,0.01567267963240093,0.09661585555038345,0.10530434585957248,2.263087097188073,4.485978453382215e-16,2.263087097188073,2.263087097188073,2.2630870971880728,4.440892098500626e-16,220.44,1.0
0.06999999999999999,triple,50,1000,0.10892868543014711,0.020314115691767356,0.10329789983804007,0.11455947102225415,2.1882029824132587,0.0,2.1882029824132587,2.1882029824132587,2.1882029824132587,0.0,222.72,0.98
0.08,triple,50,1000,0.12680574885895216,0.02556568094720484,0.11971930364449142,0.1338921940734129,2.114781458219913,4.485978453382215e-16,2.114781458219913,2.114781458219913,2.1147814582199134,-4.440892098500626e-16,219.84,0.7
0.09,triple,50,1000,0.13949453070691084,0.017809211859029443,0.13455806903345266,0.14443099238036902,2.0428140280118616,4.485978453382215e-16,2.0428140280118616,2.0428140280118616,2.042814028011862,-4.440892098500626e-16,221.58,0.6
0.09999999999999999,triple,50,1000,0.14915737642198873,0.024124674279578002,0.14247035787740225,0.1558443949665752,1.972292131572198,2.2429892266911074e-16,1.972292131572198,1.972292131572198,1.9722921315721977,2.220446049250313e-16,223.4,0.48
