d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.01,0.0,0.01,1,9.408951199999995e-01,9.637759999999997e-01,9.542382399999996e-01,2.288088000000000e-02,2.712481751032723e+00,2.725970180579383e+00,True,False,
0.01,0.0,0.01,2,9.408937955555550e-01,9.637759999999996e-01,9.542355911111107e-01,2.288220444444445e-02,2.712478004938131e+00,2.725970180579383e+00,True,False,
0.01,0.0,0.05,1,8.653824444444438e-01,9.248355555555552e-01,8.810937777777772e-01,5.945311111111107e-02,2.553969755887400e+00,2.615829971263044e+00,True,False,
0.01,0.0,0.05,2,8.653493333333330e-01,9.248355555555552e-01,8.810275555555556e-01,5.948622222222220e-02,2.553876103522604e+00,2.615829971263044e+00,True,False,
0.01,0.0,0.1,1,7.754319999999995e-01,8.761599999999997e-01,7.985439999999995e-01,1.007279999999999e-01,2.368389109760471e+00,2.478154709617621e+00,True,False,
0.01,0.0,0.1,2,7.752995555555552e-01,8.761599999999996e-01,7.982791111111112e-01,1.008604444444444e-01,2.368014500301283e+00,2.478154709617621e+00,True,False,
0.01,0.02,0.01,1,8.653350815999997e-01,8.882159615999998e-01,9.542382399999998e-01,2.288088000000000e-02,2.605623719954012e+00,2.607296080708372e+00,True,False,
0.01,0.02,0.01,2,8.653337571555553e-01,8.882159615999999e-01,9.542355911111108e-01,2.288220444444445e-02,2.605619973859420e+00,2.607292202868089e+00,True,False,
0.01,0.02,0.05,1,7.928753368888884e-01,8.523284479999997e-01,8.810937777777774e-01,5.945311111111110e-02,2.451429221013889e+00,2.451766733201838e+00,True,False,
0.01,0.02,0.05,2,7.928422257777777e-01,8.523284479999998e-01,8.810275555555558e-01,5.948622222222221e-02,2.451335568649094e+00,2.451671541555505e+00,True,False,
0.01,0.02,0.1,1,7.067410559999996e-01,8.074690559999997e-01,7.985439999999997e-01,1.007280000000000e-01,2.271245445143460e+00,2.283867380383600e+00,True,False,
0.01,0.02,0.1,2,7.066086115555554e-01,8.074690559999997e-01,7.982791111111113e-01,1.008604444444444e-01,2.270870835684272e+00,2.283867380383600e+00,True,False,
0.01,0.05,0.01,1,7.577776799999992e-01,7.806585599999996e-01,9.542382399999993e-01,2.288087999999999e-02,2.453514583877682e+00,2.465764308265954e+00,True,False,
0.01,0.05,0.01,2,7.577763555555546e-01,7.806585599999994e-01,9.542355911111102e-01,2.288220444444444e-02,2.453510837783089e+00,2.465760207842151e+00,True,False,
0.01,0.05,0.05,1,6.896636888888880e-01,7.491167999999995e-01,8.810937777777770e-01,5.945311111111107e-02,2.305465908617411e+00,2.313008625388979e+00,True,False,
0.01,0.05,0.05,2,6.896305777777771e-01,7.491167999999995e-01,8.810275555555552e-01,5.948622222222218e-02,2.305372256252614e+00,2.312907722924057e+00,True,False,
0.01,0.05,0.1,1,6.089615999999993e-01,7.096895999999996e-01,7.985439999999994e-01,1.007279999999999e-01,2.132964412346796e+00,2.136662676497306e+00,True,False,
0.01,0.05,0.1,2,6.088291555555551e-01,7.096895999999996e-01,7.982791111111109e-01,1.008604444444444e-01,2.132589802887608e+00,2.136266713296357e+00,True,False,
0.01,0.1,0.01,1,5.939357599999994e-01,6.168166399999997e-01,9.542382399999993e-01,2.288087999999999e-02,2.221807118528434e+00,2.272473001871913e+00,True,False,
0.01,0.1,0.01,2,5.939344355555550e-01,6.168166399999998e-01,9.542355911111104e-01,2.288220444444444e-02,2.221803372433842e+00,2.272468552674875e+00,True,False,
0.01,0.1,0.05,1,5.324416444444436e-01,5.918947555555552e-01,8.810937777777770e-01,5.945311111111107e-02,2.083120361060052e+00,2.122890149671325e+00,True,False,
0.01,0.1,0.05,2,5.324085333333328e-01,5.918947555555552e-01,8.810275555555553e-01,5.948622222222219e-02,2.083026708695256e+00,2.122780210292500e+00,True,False,
0.01,0.1,0.1,1,4.600143999999993e-01,5.607423999999996e-01,7.985439999999994e-01,1.007279999999999e-01,1.922321262029298e+00,1.951516906505048e+00,True,False,
0.01,0.1,0.1,2,4.598819555555551e-01,5.607423999999996e-01,7.982791111111109e-01,1.008604444444444e-01,1.921946652570110e+00,1.951083369201947e+00,True,False,
0.05,0.0,0.01,1,7.893379999999994e-01,8.623999999999995e-01,8.538759999999999e-01,7.306199999999996e-02,2.427180795975445e+00,2.439235552381113e+00,True,False,
0.05,0.0,0.01,2,7.893315555555551e-01,8.623999999999996e-01,8.538631111111110e-01,7.306844444444438e-02,2.427162568333975e+00,2.439235552381113e+00,True,False,
0.05,0.0,0.05,1,7.218944444444437e-01,8.275555555555549e-01,7.886777777777775e-01,1.056611111111111e-01,2.285699099959474e+00,2.340680580567734e+00,True,False,
0.05,0.0,0.05,2,7.217333333333326e-01,8.275555555555550e-01,7.883555555555550e-01,1.058222222222222e-01,2.285243408922709e+00,2.340680580567735e+00,True,False,
0.05,0.0,0.1,1,6.417999999999994e-01,7.839999999999995e-01,7.155999999999998e-01,1.421999999999999e-01,2.120754658134692e+00,2.217486865801011e+00,True,False,
0.05,0.0,0.1,2,6.411555555555549e-01,7.839999999999995e-01,7.143111111111109e-01,1.428444444444443e-01,2.118931893987633e+00,2.217486865801011e+00,True,False,
0.05,0.02,0.01,1,7.217258399999997e-01,7.947878399999998e-01,8.538760000000000e-01,7.306200000000000e-02,2.331562762322106e+00,2.333059736901621e+00,True,False,
0.05,0.02,0.01,2,7.217193955555554e-01,7.947878399999998e-01,8.538631111111112e-01,7.306844444444438e-02,2.331544534680635e+00,2.333040868161731e+00,True,False,
0.05,0.02,0.05,1,6.570140888888885e-01,7.626751999999997e-01,7.886777777777776e-01,1.056611111111111e-01,2.193944421201219e+00,2.194252581500619e+00,True,False,
0.05,0.02,0.05,2,6.568529777777772e-01,7.626751999999996e-01,7.883555555555553e-01,1.058222222222222e-01,2.193488730164454e+00,2.193789363334910e+00,True,False,
0.05,0.02,0.1,1,5.803343999999997e-01,7.225343999999997e-01,7.155999999999999e-01,1.422000000000000e-01,2.033829172995293e+00,2.043635895522213e+00,True,False,
