d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.021,0.021,0.021,1,8.018602402455027e-01,8.488798793735032e-01,9.059607217439991e-01,4.701963912799995e-02,2.481719377903326e+00,2.483031920010761e+00,True,True,0.021
0.021,0.021,0.021,2,8.018480651175028e-01,8.488798793735034e-01,9.059363714879989e-01,4.703181425599996e-02,2.481684941441044e+00,2.482996382429918e+00,True,True,0.021
0.022,0.022,0.022,1,7.929991432843937e-01,8.421605066123939e-01,9.016772733439994e-01,4.916136332799997e-02,2.466159038992920e+00,2.467594962033043e+00,True,True,0.022
0.022,0.022,0.022,2,7.929851541786155e-01,8.421605066123938e-01,9.016492951324433e-01,4.917535243377774e-02,2.466119471826687e+00,2.467554068554913e+00,True,True,0.022
0.023,0.023,0.023,1,7.841885999095609e-01,8.354829818286720e-01,8.974112361617779e-01,5.129438191911113e-02,2.450682505240013e+00,2.452246920450499e+00,True,True,0.023
0.023,0.023,0.023,2,7.841726259904502e-01,8.354829818286723e-01,8.973792883235558e-01,5.131035583822224e-02,2.450637324173911e+00,2.452200154993406e+00,True,True,0.023
0.024,0.024,0.024,1,7.754283998248963e-01,8.288471129128961e-01,8.931625738240002e-01,5.341871308800000e-02,2.435289453521163e+00,2.436987418813610e+00,True,True,0.024
0.024,0.024,0.024,2,7.754102627368967e-01,8.288471129128964e-01,8.931262996480007e-01,5.343685017599999e-02,2.435238154089501e+00,2.436934240973255e+00,True,True,0.024
0.025,0.025,0.025,1,7.667183333333329e-01,8.222527083333330e-01,8.889312500000000e-01,5.553437499999998e-02,2.419979561590277e+00,2.421816081859284e+00,True,True,0.025
0.025,0.025,0.025,2,7.666978472222218e-01,8.222527083333331e-01,8.888902777777774e-01,5.555486111111110e-02,2.419921618117929e+00,2.421755926834375e+00,True,True,0.025
0.026,0.026,0.026,1,7.580581913359917e-01,8.156995771351032e-01,8.847172284017770e-01,5.764138579911107e-02,2.404752508077389e+00,2.406732535508928e+00,True,True,0.026
0.026,0.026,0.026,2,7.580351628702140e-01,8.156995771351031e-01,8.846711714702218e-01,5.766441426488884e-02,2.404687373740143e+00,2.406664814026981e+00,True,True,0.026
0.027,0.027,0.027,1,7.494477653313267e-01,8.091875289393272e-01,8.805204727839991e-01,5.973976360799994e-02,2.389607972487469e+00,2.391736406866519e+00,True,True,0.027
0.027,0.027,0.027,2,7.494219937233269e-01,8.091875289393272e-01,8.804689295679993e-01,5.976553521599994e-02,2.389535079372354e+00,2.391660505109831e+00,True,True,0.027
0.028,0.028,0.028,1,7.408868474142716e-01,8.027163739422717e-01,8.763409469439998e-01,6.182952652799997e-02,2.374545635199198e+00,2.376827324216663e+00,True,True,0.028
0.028,0.028,0.028,2,7.408581244418271e-01,8.027163739422718e-01,8.762835009991106e-01,6.185824950044442e-02,2.374464394364833e+00,2.376742603748490e+00,True,True,0.028
0.029,0.029,0.029,1,7.323752302753845e-01,7.962859229144957e-01,8.721786147217777e-01,6.391069263911109e-02,2.359565177463773e+00,2.362004917022646e+00,True,True,0.029
0.029,0.029,0.029,2,7.323433403029399e-01,7.962859229144956e-01,8.721148347768886e-01,6.394258261155553e-02,2.359474979000703e+00,2.361910714713585e+00,True,True,0.029
0.03,0.03,0.03,1,7.239127071999996e-01,7.898959871999996e-01,8.680334399999997e-01,6.598327999999998e-02,2.344666281403696e+00,2.347268815924495e+00,True,True,0.03
0.03,0.03,0.03,2,7.238774271999995e-01,7.898959871999996e-01,8.679628799999998e-01,6.601855999999998e-02,2.344566494494735e+00,2.347164443879087e+00,True,True,0.03
0.031,0.031,0.031,1,7.154990720673695e-01,7.835463787153699e-01,8.639053867039992e-01,6.804730664799993e-02,2.329848630011571e+00,2.332618652737010e+00,True,True,0.031
0.031,0.031,0.031,2,7.154601716415916e-01,7.835463787153698e-01,8.638275858524437e-01,6.808620707377772e-02,2.329738602992136e+00,2.332503398220573e+00,True,True,0.031
0.032,0.032,0.032,1,7.071341193498165e-01,7.772369099489279e-01,8.597944188017772e-01,7.010279059911106e-02,2.315111907148896e+00,2.318054060447809e+00,True,True,0.032
0.032,0.032,0.032,2,7.070913607507054e-01,7.772369099489277e-01,8.597089016035555e-01,7.014554919822220e-02,2.314990967567354e+00,2.317927185813523e+00,True,True,0.032
0.033,0.033,0.033,1,6.988176441118723e-01,7.709673939598721e-01,8.557005003040004e-01,7.214974984800002e-02,2.300455797544852e+00,2.303574673215343e+00,True,True,0.033
0.033,0.033,0.033,2,6.987707822638725e-01,7.709673939598722e-01,8.556067766080004e-01,7.219661169600000e-02,2.300323252222853e+00,2.303435415831588e+00,True,True,0.033
0.034,0.034,0.034,1,6.905494420094290e-01,7.647376443774291e-01,8.516235952639999e-01,7.418820236799997e-02,2.285879986795097e+00,2.289180126366923e+00,True,True,0.034
0.034,0.034,0.034,2,6.904982245303177e-01,7.647376443774290e-01,8.515211603057774e-01,7.423941984711109e-02,2.285735121887918e+00,2.289027698544897e+00,True,True,0.034
0.035,0.035,0.035,1,6.823293092888884e-01,7.585474753999996e-01,8.475636677777776e-01,7.621816611111107e-02,2.271384161360568e+00,2.274870056396745e+00,True,True,0.035
0.035,0.035,0.035,2,6.822734765111107e-01,7.585474753999997e-01,8.474520022222219e-01,7.627399888888886e-02,2.271226242417452e+00,2.274703645318366e+00,True,True,0.035
0.036,0.036,0.036,1,6.741570427863037e-01,7.523967017943037e-01,8.435206819839999e-01,7.823965900799998e-02,2.256968008566265e+00,2.260644100963881e+00,True,True,0.036
0.036,0.036,0.036,2,6.740963277783036e-01,7.523967017943038e-01,8.433992519679996e-01,7.830037401599996e-02,2.256796280590758e+00,2.260462868609991e+00,True,True,0.036
0.037,0.037,0.037,1,6.660324399265267e-01,7.462851388945271e-01,8.394946020639993e-01,8.025269896799991e-02,2.242631216600041e+00,2.246501898890287e+00,True,True,0.037
0.037,0.037,0.037,2,6.659665685140825e-01,7.462851388945274e-01,8.393628592391102e-01,8.031857038044438e-02,2.242444904110338e+00,2.246304981969170e+00,True,True,0.037
0.038,0.038,0.038,1,6.579552987223609e-01,7.402126026014720e-01,8.354853922417776e-01,8.225730387911111e-02,2.228373474511415e+00,2.232443090158799e+00,True,True,0.038
0.038,0.038,0.038,2,6.578839895099164e-01,7.402126026014720e-01,8.353427738168888e-01,8.232861309155561e-02,2.228171781600693e+00,2.232229600035031e+00,True,True,0.038
0.039,0.039,0.039,1,6.499254177736949e-01,7.341789093816954e-01,8.314930167839991e-01,8.425349160799991e-02,2.214194472210332e+00,2.218467315911101e+00,True,True,0.039
0.039,0.039,0.039,2,6.498483821656947e-01,7.341789093816953e-01,8.313389455679989e-01,8.433052721599993e-02,2.213976582607093e+00,2.218236338534745e+00,True,True,0.039
0.04,0.04,0.04,1,6.419425962666663e-01,7.281838762666664e-01,8.275174399999999e-01,8.624127999999998e-02,2.200093900465995e+00,2.204574218445730e+00,True,True,0.04
0.04,0.04,0.04,2,6.418595384888883e-01,7.281838762666663e-01,8.273513244444441e-01,8.632433777777775e-02,2.199858977594407e+00,2.204324814281891e+00,True,True,0.04
0.041,0.041,0.041,1,6.340066339727930e-01,7.222273208519042e-01,8.235586262417777e-01,8.822068687911111e-02,2.186071450905624e+00,2.190763441216019e+00,True,True,0.041
0.041,0.041,0.041,2,6.339172510936819e-01,7.222273208519041e-01,8.233798604835556e-01,8.831006975822228e-02,2.185818637945859e+00,2.190494645174773e+00,True,True,0.041
0.042,0.042,0.042,1,6.261173312481281e-01,7.163090612961281e-01,8.196165399040000e-01,9.019173004800002e-02,2.172126816013271e+00,2.177034628828072e+00,True,True,0.042
0.042,0.042,0.042,2,6.260213132001282e-01,7.163090612961280e-01,8.194245038080004e-01,9.028774809599997e-02,2.171855235961843e+00,2.176745450194788e+00,True,True,0.042
0.043,0.043,0.043,1,6.182744890324043e-01,7.104289163204046e-01,8.156911454239993e-01,9.215442728799994e-02,2.158259689128601e+00,2.163387427038717e+00,True,True,0.043
0.043,0.043,0.043,2,6.181715186332930e-01,7.104289163204045e-01,8.154852046257770e-01,9.225739768711104e-02,2.157968444858709e+00,2.163076849404782e+00,True,True,0.043
0.044,0.044,0.044,1,6.104779088481841e-01,7.045867052072954e-01,8.117824072817774e-01,9.410879635911105e-02,2.144469764445700e+00,2.149821482753459e+00,True,True,0.044
0.044,0.044,0.044,2,6.103676618224063e-01,7.045867052072954e-01,8.115619132302218e-01,9.421904338488882e-02,2.144157938767568e+00,2.149488463947430e+00,True,True,0.044
0.045,0.045,0.045,1,6.027273928000003e-01,6.987822478000001e-01,8.078902900000003e-01,9.605485499999999e-02,2.130756737011850e+00,2.136336444024401e+00,True,True,0.045
0.045,0.045,0.045,2,6.026095378000003e-01,6.987822478000001e-01,8.076545800000002e-01,9.617270999999994e-02,2.130423392733063e+00,2.135979916043592e+00,True,True,0.045
0.046,0.046,0.046,1,5.950227435735034e-01,6.930153645015037e-01,8.040147581439995e-01,9.799262092799996e-02,2.117120302726328e+00,2.122931960048184e+00,True,True,0.046
0.046,0.046,0.046,2,5.948969422010588e-01,6.930153645015036e-01,8.037631553991105e-01,9.811842230044442e-02,2.116764482712176e+00,2.122550828990709e+00,True,True,0.046
0.047,0.047,0.047,1,5.873637644346162e-01,6.872858762737276e-01,8.001557763217773e-01,9.992211183911104e-02,2.103560158339213e+00,2.109607681163919e+00,True,True,0.047
0.047,0.047,0.047,2,5.872296712621718e-01,6.872858762737277e-01,7.998875899768882e-01,1.000562050115555e-01,2.103180885573027e+00,2.109200827161207e+00,True,True,0.047
0.048,0.048,0.048,1,5.797502592286710e-01,6.815936046366713e-01,7.963133091839995e-01,1.018433454079999e-01,2.090076001450157e+00,2.096363258851083e+00,True,True,0.048
0.048,0.048,0.048,2,5.796075218206711e-01,6.815936046366715e-01,7.960278343679992e-01,1.019860828159999e-01,2.089672279093654e+00,2.095929536000882e+00,True,True,0.048
0.049,0.049,0.049,1,5.721820323795621e-01,6.759383716675623e-01,7.924873214239995e-01,1.037563392880000e-01,2.076667530507198e+00,2.083198345727435e+00,True,True,0.049
0.049,0.049,0.049,2,5.720302913137842e-01,6.759383716675623e-01,7.921838392924437e-01,1.039080803537778e-01,2.076238341960814e+00,2.082736582027321e+00,True,True,0.049
0.05,0.05,0.05,1,5.646588888888879e-01,6.703199999999992e-01,7.886777777777773e-01,1.056611111111110e-01,2.063334444805538e+00,2.070112595546911e+00,True,True,0.05
0.05,0.05,0.05,2,5.644977777777769e-01,6.703199999999995e-01,7.883555555555548e-01,1.058222222222221e-01,2.062878753768774e+00,2.069621592828319e+00,True,True,0.05
0.051,0.051,0.051,1,5.571806343351036e-01,6.647383128231037e-01,7.848846430239996e-01,1.075576784879999e-01,2.050076444486348e+00,2.057105663197511e+00,True,True,0.051
0.051,0.051,0.051,2,5.570097798471032e-01,6.647383128231036e-01,7.845429340479992e-01,1.077285329759999e-01,2.049593195018103e+00,2.056584197060310e+00,True,True,0.051
0.052,0.052,0.052,1,5.497470748726616e-01,6.591931338806615e-01,7.811078819840003e-01,1.094460590080000e-01,2.036893230535551e+00,2.044177204699180e+00,True,True,0.052
0.052,0.052,0.052,2,5.495660967535503e-01,6.591931338806615e-01,7.807459257457776e-01,1.096270371271111e-01,2.036381347114471e+00,2.043624024446805e+00,True,True,0.052
