d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.78,0.78,0.78,2,0.000000000000000e+00,1.103871999999989e-04,1.050879999999949e-03,4.994745599999998e-01,1.642279823778943e-03,2.113323551492986e-03,False,True,0.78
0.79,0.79,0.79,1,0.000000000000000e+00,2.009429333333321e-04,6.242254399999999e-01,1.878872799999999e-01,8.830722594478955e-01,1.248450944685062e+00,False,True,0.79
0.79,0.79,0.79,2,0.000000000000000e+00,2.009429333333322e-04,1.900657777777676e-03,4.990496711111111e-01,2.972112228346179e-03,3.822500778643937e-03,False,True,0.79
0.8,0.8,0.8,1,0.000000000000000e+00,3.199999999999999e-04,6.401777777777771e-01,1.799111111111109e-01,9.058006440031611e-01,1.280355715511112e+00,False,True,0.8
0.8,0.8,0.8,2,0.000000000000000e+00,3.200000000000006e-04,3.022222222222398e-03,4.984888888888882e-01,4.726615995131689e-03,6.078232361631099e-03,False,True,0.8
0.81,0.81,0.81,1,0.000000000000000e+00,4.674304000000012e-04,6.563310399999999e-01,1.718344799999999e-01,9.288533045855835e-01,1.312662412897787e+00,False,True,0.81
0.81,0.81,0.81,2,0.000000000000000e+00,4.674304000000010e-04,4.430079999999947e-03,4.977849599999999e-01,6.926125629543234e-03,8.909343406838395e-03,False,True,0.81
0.82,0.82,0.82,1,0.000000000000000e+00,6.422528000000002e-04,6.726822400000000e-01,1.636588800000001e-01,9.522246295957452e-01,1.345365093199726e+00,False,True,0.82
0.82,0.82,0.82,2,0.000000000000000e+00,6.422527999999990e-04,6.139591111111176e-03,4.969302044444445e-01,9.590975636990819e-03,1.234618445848647e-02,False,True,0.82
0.83,0.83,0.83,1,0.000000000000000e+00,8.425472000000004e-04,6.892288177777779e-01,1.553855911111112e-01,9.759082833568874e-01,1.378458665526301e+00,False,True,0.83
0.83,0.83,0.83,2,0.000000000000000e+00,8.425472000000010e-04,8.166968888888931e-03,4.959165155555558e-01,1.274137984332533e-02,1.642062929565217e-02,False,True,0.83
0.84,0.84,0.84,1,0.000000000000000e+00,1.065369600000000e-03,7.059686399999996e-01,1.470156799999999e-01,9.998970854353483e-01,1.411938887736765e+00,False,True,0.84
0.84,0.84,0.84,2,0.000000000000000e+00,1.065369599999998e-03,1.052927999999997e-02,4.947353599999996e-01,1.639731071528374e-02,2.116608132867335e-02,False,True,0.84
0.85,0.85,0.85,1,0.000000000000000e+00,1.306666666666667e-03,7.229000000000001e-01,1.385500000000000e-01,1.024182889961011e+00,1.445802361843109e+00,False,True,0.85
0.85,0.85,0.85,2,0.000000000000000e+00,1.306666666666666e-03,1.324444444444456e-02,4.933777777777779e-01,2.057837868093138e-02,2.661748946987721e-02,False,True,0.85
0.86,0.86,0.86,1,0.000000000000000e+00,1.561190399999998e-03,7.400216177777775e-01,1.299891911111111e-01,1.048756464947739e+00,1.480046529125222e+00,False,True,0.86
0.86,0.86,0.86,2,0.000000000000000e+00,1.561190399999999e-03,1.633123555555546e-02,4.918343822222220e-01,2.530371145010295e-02,3.281137426174595e-02,False,True,0.86
0.87,0.87,0.87,1,0.000000000000000e+00,1.822412799999999e-03,7.573326399999996e-01,1.213336799999999e-01,1.073607371613822e+00,1.514669665369690e+00,False,True,0.87
0.87,0.87,0.87,2,0.000000000000000e+00,1.822412799999999e-03,1.980927999999982e-02,4.900953599999998e-01,3.059183333484819e-02,3.978586495387509e-02,False,True,0.87
0.88,0.88,0.88,1,0.000000000000000e+00,2.082440533333336e-03,7.748326400000006e-01,1.125836800000001e-01,1.098723843702426e+00,1.549670876757959e+00,False,True,0.88
0.88,0.88,0.88,2,0.000000000000000e+00,2.082440533333335e-03,2.369905777777770e-02,4.881504711111113e-01,3.646054456987227e-02,4.758074812902022e-02,False,True,0.88
0.89,0.89,0.89,1,0.000000000000000e+00,2.331929600000002e-03,7.925216177777779e-01,1.037391911111111e-01,1.124092666802019e+00,1.585050097051529e+00,False,True,0.89
0.89,0.89,0.89,2,0.000000000000000e+00,2.331929600000003e-03,2.802190222222228e-02,4.859890488888890e-01,4.292680063297880e-02,5.623752838847534e-02,False,True,0.89
0.9,0.9,0.9,1,0.000000000000000e+00,2.559999999999996e-03,8.103999999999993e-01,9.479999999999988e-02,1.149699057666830e+00,1.620808086850505e+00,False,True,0.9
0.9,0.9,0.9,2,0.000000000000000e+00,2.559999999999997e-03,3.279999999999997e-02,4.835999999999995e-01,5.000659156551261e-02,6.579950151786859e-02,False,True,0.9
0.91,0.91,0.91,1,0.000000000000000e+00,2.754150400000002e-03,8.284686400000001e-01,8.576567999999997e-02,1.175526543537289e+00,1.656946435836567e+00,False,True,0.91
0.91,0.91,0.91,2,0.000000000000000e+00,2.754150400000002e-03,3.805639111111114e-02,4.809718044444444e-01,5.771482129280354e-02,7.631184046601626e-02,False,True,0.91
0.92,0.92,0.92,1,0.000000000000000e+00,2.900172800000001e-03,8.467288177777776e-01,7.663559111111107e-02,1.201556841460456e+00,1.693467569051882e+00,False,True,0.92
0.92,0.92,0.92,2,0.000000000000000e+00,2.900172800000001e-03,4.381496888888886e-02,4.780925155555554e-01,6.606518694460731e-02,8.782169438138070e-02,False,True,0.92
0.93,0.93,0.93,1,0.000000000000000e+00,2.982067200000002e-03,8.651822400000004e-01,6.740887999999998e-02,1.227769737610483e+00,1.730374758410679e+00,False,True,0.93
0.93,0.93,0.93,2,0.000000000000000e+00,2.982067200000001e-03,5.010048000000014e-02,4.749497600000001e-01,7.507005817555015e-02,1.003783008626014e-01,False,True,0.93
0.94,0.94,0.94,1,0.000000000000000e+00,2.981956266666665e-03,8.838310399999992e-01,5.808448000000000e-02,1.254142966609040e+00,1.767672140789300e+00,False,True,0.94
0.94,0.94,0.94,2,0.000000000000000e+00,2.981956266666666e-03,5.693852444444436e-02,4.715307377777775e-01,8.474035648556866e-02,1.140331114911261e-01,False,True,0.94
0.95,0.95,0.95,1,0.000000000000000e+00,2.880000000000001e-03,9.026777777777777e-01,4.866111111111115e-02,1.280652090845774e+00,1.805364744193070e+00,False,True,0.95
0.95,0.95,0.95,2,0.000000000000000e+00,2.880000000000000e-03,6.435555555555547e-02,4.678222222222221e-01,9.508543454035626e-02,1.288399306250075e-01,False,True,0.95
0.96,0.96,0.96,1,0.000000000000000e+00,2.654310400000002e-03,9.217254399999999e-01,3.913728000000004e-02,1.307270379798736e+00,1.843458523652640e+00,False,True,0.96
0.96,0.96,0.96,2,0.000000000000000e+00,2.654310400000001e-03,7.237887999999992e-02,4.638105600000001e-01,1.061129554918026e-01,1.448550673432440e-01,False,True,0.96
0.97,0.97,0.97,1,0.000000000000000e+00,2.280866133333334e-03,9.409774399999997e-01,2.951128000000002e-02,1.333968689354832e+00,1.881960408658239e+00,False,True,0.97
0.97,0.97,0.97,2,0.000000000000000e+00,2.280866133333334e-03,8.103665777777783e-02,4.594816711111109e-01,1.178287722984381e-01,1.621375003398149e-01,False,True,0.97
0.98,0.98,0.98,1,0.000000000000000e+00,1.733427200000000e-03,9.604376177777774e-01,1.978119111111112e-02,1.360715341130266e+00,1.920878364095457e+00,False,True,0.98
0.98,0.98,0.98,2,0.000000000000000e+00,1.733427200000000e-03,9.035790222222231e-02,4.548210488888887e-01,1.302368070458752e-01,1.807490554759099e-01,False,True,0.98
0.99,0.99,0.99,1,0.000000000000000e+00,9.834496000000006e-04,9.801102399999996e-01,9.944880000000007e-03,1.387476001790979e+00,1.960221466800088e+00,False,True,0.99
0.99,0.99,0.99,2,0.000000000000000e+00,9.834496000000002e-04,1.003724800000000e-01,4.498137599999998e-01,1.433389302672527e-01,2.007545956083312e-01,False,True,0.99
