d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.18,0.18,0.18,2,0.000000000000000e+00,1.939996672000002e-01,4.070924800000004e-01,2.964537600000000e-01,8.500726668062055e-01,9.019094370196191e-01,False,True,0.18
0.19,0.19,0.19,1,0.000000000000000e+00,1.735888896000000e-01,4.018830399999999e-01,2.990584799999999e-01,8.138402076053348e-01,8.755411593573486e-01,False,True,0.19
0.19,0.19,0.19,2,0.000000000000000e+00,1.735888896000000e-01,3.859091911111109e-01,3.070454044444444e-01,7.912497738633696e-01,8.463072878726566e-01,False,True,0.19
0.2,0.2,0.2,1,0.000000000000000e+00,1.548799999999999e-01,3.841777777777775e-01,3.079111111111109e-01,7.623428202360347e-01,8.284452410105845e-01,False,True,0.2
0.2,0.2,0.2,2,0.000000000000000e+00,1.548799999999999e-01,3.656888888888886e-01,3.171555555555552e-01,7.361955828161588e-01,7.942699235317673e-01,False,True,0.2
0.21,0.21,0.21,1,0.000000000000000e+00,1.377679104000000e-01,3.676334400000000e-01,3.161832800000000e-01,7.147454441773569e-01,7.851989387211779e-01,False,True,0.21
0.21,0.21,0.21,2,0.000000000000000e+00,1.377679104000001e-01,3.463948800000000e-01,3.268025600000000e-01,6.847095845800820e-01,7.455720220775369e-01,False,True,0.21
0.22,0.22,0.22,1,0.000000000000000e+00,1.221517994666666e-01,3.522214400000001e-01,3.238892800000001e-01,6.708650688806200e-01,7.456031247483299e-01,False,True,0.22
0.22,0.22,0.22,2,0.000000000000000e+00,1.221517994666667e-01,3.279913244444443e-01,3.360043377777777e-01,6.365985108440859e-01,6.999982029227375e-01,False,True,0.22
0.23,0.23,0.23,1,0.000000000000000e+00,1.079350272000000e-01,3.379136177777776e-01,3.310431911111110e-01,6.305252004932400e-01,7.094662308421190e-01,False,True,0.23
0.23,0.23,0.23,2,0.000000000000000e+00,1.079350272000000e-01,3.104432355555555e-01,3.447783822222222e-01,5.916762133910007e-01,6.573430538124424e-01,False,True,0.23
0.24,0.24,0.24,1,0.000000000000000e+00,9.502504959999993e-02,3.246822399999995e-01,3.376588799999997e-01,5.935557411791713e-01,6.766042182041129e-01,False,True,0.24
0.24,0.24,0.24,2,0.000000000000000e+00,9.502504959999986e-02,2.937164799999996e-01,3.531417599999997e-01,5.497635434179812e-01,6.174111455912424e-01,False,True,0.24
0.25,0.25,0.25,1,0.000000000000000e+00,8.333333333333325e-02,3.124999999999999e-01,3.437499999999997e-01,5.597928684393498e-01,6.468406123441675e-01,False,True,0.25
0.25,0.25,0.25,2,0.000000000000000e+00,8.333333333333323e-02,2.777777777777777e-01,3.611111111111107e-01,5.106882308569508e-01,5.800170282728082e-01,False,True,0.25
0.26,0.26,0.26,1,0.000000000000000e+00,7.277527039999999e-02,3.013400177777779e-01,3.493299911111111e-01,5.290789144321322e-01,6.200066009200372e-01,False,True,0.26
0.26,0.26,0.26,2,0.000000000000000e+00,7.277527039999998e-02,2.625947022222221e-01,3.687026488888889e-01,4.742847636950400e-01,5.449852020632143e-01,False,True,0.26
0.27,0.27,0.27,1,0.000000000000000e+00,6.327009279999997e-02,2.911758400000000e-01,3.544120799999999e-01,5.012622452937426e-01,5.959411865029172e-01,False,True,0.27
0.27,0.27,0.27,2,0.000000000000000e+00,6.327009280000000e-02,2.481356800000002e-01,3.759321600000000e-01,4.403942672950349e-01,5.121500574323236e-01,False,True,0.27
0.28,0.28,0.28,1,0.000000000000000e+00,5.474078719999995e-02,2.819814399999999e-01,3.590092799999999e-01,4.761971404587144e-01,5.744913795271405e-01,False,True,0.28
0.28,0.28,0.28,2,0.000000000000000e+00,5.474078719999996e-02,2.343699911111111e-01,3.828150044444444e-01,4.088643837158145e-01,4.813557790935847e-01,False,True,0.28
0.29,0.29,0.29,1,0.000000000000000e+00,4.711400959999994e-02,2.737312177777776e-01,3.631343911111108e-01,4.537436719803325e-01,5.555124102545109e-01,False,True,0.29
0.29,0.29,0.29,2,0.000000000000000e+00,4.711400959999994e-02,2.212677688888886e-01,3.893661155555552e-01,3.795491510327980e-01,4.524562098133056e-01,False,True,0.29
0.3,0.3,0.3,1,0.000000000000000e+00,4.032000000000002e-02,2.663999999999999e-01,3.668000000000000e-01,4.337675838510754e-01,5.388679333565876e-01,False,True,0.3
0.3,0.3,0.3,2,0.000000000000000e+00,4.032000000000002e-02,2.088000000000003e-01,3.956000000000000e-01,3.523088826583859e-01,4.253146712729299e-01,False,True,0.3
0.31,0.31,0.31,1,0.000000000000000e+00,3.429249706666663e-02,2.599630400000001e-01,3.700184800000000e-01,4.161401713230589e-01,5.244301956261062e-01,False,True,0.31
0.31,0.31,0.31,2,0.000000000000000e+00,3.429249706666664e-02,1.969385244444444e-01,4.015307377777778e-01,3.270100466623982e-01,3.998037406799610e-01,False,True,0.31
0.32,0.32,0.32,1,0.000000000000000e+00,2.896865279999991e-02,2.543960177777776e-01,3.728019911111108e-01,4.007381602284774e-01,5.120801371123012e-01,False,True,0.32
0.32,0.32,0.32,2,0.000000000000000e+00,2.896865279999994e-02,1.856560355555550e-01,4.071719822222220e-01,3.035251450925247e-01,3.758049833796909e-01,False,True,0.32
0.33,0.33,0.33,1,0.000000000000000e+00,2.428894719999999e-02,2.496750399999999e-01,3.751624799999997e-01,3.874435863000488e-01,5.017073990089679e-01,False,True,0.33
0.33,0.33,0.33,2,0.000000000000000e+00,2.428894719999998e-02,1.749260799999999e-01,4.125369599999996e-01,2.817325932947650e-01,3.532086432705223e-01,False,True,0.33
0.34,0.34,0.34,1,0.000000000000000e+00,2.019710293333333e-02,2.457766400000001e-01,3.771116799999999e-01,3.761436744914552e-01,4.932102178040893e-01,False,True,0.34
0.34,0.34,0.34,2,0.000000000000000e+00,2.019710293333335e-02,1.647230577777778e-01,4.176384711111110e-01,2.615165992338657e-01,3.319132942836776e-01,False,True,0.34
0.35,0.35,0.35,1,0.000000000000000e+00,1.664000000000005e-02,2.426777777777779e-01,3.786611111111113e-01,3.667307182977859e-01,4.864951939214223e-01,False,True,0.35
0.35,0.35,0.35,2,0.000000000000000e+00,1.664000000000005e-02,1.550222222222223e-01,4.224888888888891e-01,2.427670428137710e-01,3.118254574771989e-01,False,True,0.35
