d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.002,0.002,0.002,0.7,1,6.893311864119298e-01,-6.893311864119298e-01,6.934933429532442e-01,1.532533285233779e-01,1.955609203810421e+00,1.955618062179366e+00,5.360778578885519e-01,,False,True,False,True,0.002
0.002,0.002,0.002,0.7,2,6.893311864119298e-01,-6.893311864119298e-01,6.934933216483555e-01,1.532533391758223e-01,1.955609173680759e+00,1.955618031959154e+00,5.360778472361076e-01,,False,True,False,True,0.002
0.002,0.002,0.002,0.8,1,7.878070701850627e-01,-7.878070701850627e-01,7.925632490894226e-01,1.037183754552888e-01,2.234981139089875e+00,2.234991260511552e+00,6.840886947297740e-01,-2.929135481200285e-01,True,True,True,True,0.002
0.002,0.002,0.002,0.8,2,7.878070701850625e-01,-7.878070701850625e-01,7.925632277845335e-01,1.037183861077334e-01,2.234981108960212e+00,2.234991230291350e+00,6.840886840773293e-01,-2.929136079314716e-01,True,True,True,True,0.002
0.002,0.002,0.002,0.85,1,8.370450120716290e-01,-8.370450120716290e-01,8.420982021575117e-01,7.895089892124448e-02,2.374667106729602e+00,2.374677859677735e+00,7.580941131503849e-01,-7.841127413224869e-02,True,True,True,True,0.002
0.002,0.002,0.002,0.85,2,8.370450120716288e-01,-8.370450120716288e-01,8.420981808526227e-01,7.895090957368890e-02,2.374667076599939e+00,2.374677829457537e+00,7.580941024979402e-01,-7.841134246010417e-02,True,True,True,True,0.002
0.002,0.002,0.002,0.9,1,8.862829539581955e-01,-8.862829539581955e-01,8.916331552256002e-01,5.418342238720000e-02,2.514353074369328e+00,2.514364458843963e+00,8.320995315709956e-01,1.694684315206533e-01,True,True,True,True,0.002
0.002,0.002,0.002,0.9,2,8.862829539581955e-01,-8.862829539581955e-01,8.916331339207116e-01,5.418343303964446e-02,2.514353044239666e+00,2.514364428623770e+00,8.320995209185513e-01,1.694683516841609e-01,True,True,True,True,0.002
0.002,0.002,0.002,0.95,1,9.355208958447618e-01,-9.355208958447618e-01,9.411681082936892e-01,2.941594585315558e-02,2.654039042009054e+00,2.654051058010231e+00,9.061049499916065e-01,4.660852030237963e-01,True,True,True,True,0.002
0.002,0.002,0.002,0.95,2,9.355208958447617e-01,-9.355208958447617e-01,9.411680869888006e-01,2.941595650560004e-02,2.654039011879392e+00,2.654051027790042e+00,9.061049393391620e-01,4.660851048953918e-01,True,True,True,True,0.002
0.002,0.002,0.002,1.0,1,9.847588377313286e-01,-9.847588377313286e-01,9.907030613617782e-01,4.648469319111111e-03,2.793725009648782e+00,2.793737657176533e+00,9.801103684122177e-01,8.613143767990825e-01,True,True,True,True,0.002
0.002,0.002,0.002,1.0,2,9.847588377313282e-01,-9.847588377313282e-01,9.907030400568896e-01,4.648479971555556e-03,2.793724979519119e+00,2.793737626956347e+00,9.801103577597730e-01,8.613142261234908e-01,True,True,True,True,0.002
0.003,0.003,0.003,0.5,1,4.886035390071360e-01,-4.886035390071360e-01,4.930454160720001e-01,2.534772919639999e-01,1.388261265762291e+00,1.388275477907623e+00,2.351262470431361e-01,,False,True,False,True,0.003
0.003,0.003,0.003,0.5,2,4.886035390071359e-01,-4.886035390071359e-01,4.930453442159998e-01,2.534773278920000e-01,1.388261164142561e+00,1.388275375829121e+00,2.351262111151358e-01,,False,True,False,True,0.003
0.003,0.003,0.003,0.6,1,5.863242468085632e-01,-5.863242468085632e-01,5.916526992863995e-01,2.041736503568001e-01,1.665910973330336e+00,1.665928016414289e+00,3.821505964517630e-01,,False,True,False,True,0.003
0.003,0.003,0.003,0.6,2,5.863242468085629e-01,-5.863242468085629e-01,5.916526274304001e-01,2.041736862848000e-01,1.665910871710607e+00,1.665927914335941e+00,3.821505605237629e-01,,False,True,False,True,0.003
0.003,0.003,0.003,0.7,1,6.840449546099903e-01,-6.840449546099903e-01,6.902599825008001e-01,1.548700087496000e-01,1.943560680898383e+00,1.943580554923710e+00,5.291749458603903e-01,,False,True,False,True,0.003
0.003,0.003,0.003,0.7,2,6.840449546099905e-01,-6.840449546099905e-01,6.902599106448000e-01,1.548700446776000e-01,1.943560579278653e+00,1.943580452845471e+00,5.291749099323905e-01,,False,True,False,True,0.003
0.003,0.003,0.003,0.8,1,7.817656624114177e-01,-7.817656624114177e-01,7.888672657151996e-01,1.055663671424000e-01,2.221210388466429e+00,2.221233093434850e+00,6.761992952690175e-01,-3.107487181391512e-01,True,True,True,True,0.003
0.003,0.003,0.003,0.8,2,7.817656624114174e-01,-7.817656624114174e-01,7.888671938591995e-01,1.055664030704000e-01,2.221210286846699e+00,2.221232991356692e+00,6.761992593410171e-01,-3.107489177131844e-01,True,True,True,True,0.003
