d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.005,0.005,0.005,0.68,2,6.543233238959995e-01,-6.543233238959995e-01,6.642953618666665e-01,1.678523190666666e-01,1.864808429004148e+00,1.864861753580543e+00,4.864710048293327e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.7,1,6.735681275399994e-01,-6.735681275399994e-01,6.838330674444436e-01,1.580834662777776e-01,1.919655179528445e+00,1.919710068284498e+00,5.154846612622213e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.7,2,6.735681275399996e-01,-6.735681275399996e-01,6.838327352222213e-01,1.580836323888888e-01,1.919654709695273e+00,1.919709594911945e+00,5.154844951511103e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.72,1,6.928129311839994e-01,-6.928129311839994e-01,7.033704407999994e-01,1.483147796000001e-01,1.974501460219571e+00,1.974557909616176e+00,5.444981515839992e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.72,2,6.928129311839994e-01,-6.928129311839994e-01,7.033701085777773e-01,1.483149457111111e-01,1.974500990386399e+00,1.974557436243858e+00,5.444979854728881e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.74,1,7.120577348279995e-01,-7.120577348279995e-01,7.229078141555553e-01,1.385460929222222e-01,2.029347740910697e+00,2.029405750948336e+00,5.735116419057771e-01,-5.589868803218462e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.74,2,7.120577348279994e-01,-7.120577348279994e-01,7.229074819333328e-01,1.385462590333333e-01,2.029347271077524e+00,2.029405277576239e+00,5.735114757946658e-01,-5.589876655945483e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.76,1,7.313025384719996e-01,-7.313025384719996e-01,7.424451875111104e-01,1.287774062444444e-01,2.084194021601822e+00,2.084253592280938e+00,6.025251322275548e-01,-4.911436468377155e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.76,2,7.313025384719993e-01,-7.313025384719993e-01,7.424448552888880e-01,1.287775723555555e-01,2.084193551768649e+00,2.084253118909052e+00,6.025249661164434e-01,-4.911444688559075e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.78,1,7.505473421159994e-01,-7.505473421159994e-01,7.619825608666663e-01,1.190087195666665e-01,2.139040302292948e+00,2.139101433613950e+00,6.315386225493325e-01,-4.200780992456747e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.78,2,7.505473421159996e-01,-7.505473421159996e-01,7.619822286444440e-01,1.190088856777777e-01,2.139039832459775e+00,2.139100960242265e+00,6.315384564382216e-01,-4.200789605164724e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.8,1,7.697921457599992e-01,-7.697921457599992e-01,7.815199342222215e-01,1.092400328888888e-01,2.193886582984072e+00,2.193949274947339e+00,6.605521128711100e-01,-3.455578849093740e-01,True,True,True,True,0.005
