d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.01,0.0,0.1,0.8,2,7.009279999999997e-01,-7.009279999999997e-01,6.405703111111105e-01,1.797148444444444e-01,1.897165105473933e+00,1.982523767694097e+00,5.212131555555549e-01,,False,True,False,False,
0.01,0.0,0.1,1.0,1,8.761599999999997e-01,-8.761599999999997e-01,7.985439999999995e-01,1.007279999999999e-01,2.368389109760471e+00,2.478154709617621e+00,7.754319999999995e-01,-1.575881190676102e-01,True,True,True,False,
0.01,0.0,0.1,1.0,2,8.761599999999996e-01,-8.761599999999996e-01,7.982791111111112e-01,1.008604444444444e-01,2.368014500301283e+00,2.478154709617621e+00,7.752995555555552e-01,-1.583838499983804e-01,True,True,True,False,
0.01,0.05,0.01,0.6,1,4.683951359999997e-01,-4.683951359999997e-01,5.725829439999994e-01,2.137085279999999e-01,1.472165318869103e+00,1.479520505012573e+00,2.546866079999994e-01,,False,True,False,False,
0.01,0.05,0.01,0.6,2,4.683951359999998e-01,-4.683951359999998e-01,5.725802951111111e-01,2.137098524444443e-01,1.472161572774513e+00,1.479516404475443e+00,2.546852835555554e-01,,False,True,False,False,
0.01,0.05,0.01,0.8,1,6.245268479999995e-01,-6.245268479999995e-01,7.634105919999998e-01,1.182947039999999e-01,1.962839951373393e+00,1.972642406368275e+00,5.062321439999994e-01,,False,True,False,False,
0.01,0.05,0.01,0.8,2,6.245268479999996e-01,-6.245268479999996e-01,7.634079431111107e-01,1.182960284444444e-01,1.962836205278800e+00,1.972638305901973e+00,5.062308195555549e-01,,False,True,False,False,
0.01,0.05,0.01,1.0,1,7.806585599999996e-01,-7.806585599999996e-01,9.542382399999993e-01,2.288087999999999e-02,2.453514583877682e+00,2.465764308265954e+00,7.577776799999992e-01,2.462425776260359e-01,True,True,True,False,
0.01,0.05,0.01,1.0,2,7.806585599999994e-01,-7.806585599999994e-01,9.542355911111102e-01,2.288220444444444e-02,2.453510837783089e+00,2.465760207842151e+00,7.577763555555546e-01,2.462312597140969e-01,True,True,True,False,
0.01,0.05,0.05,0.6,1,4.494700799999997e-01,-4.494700799999997e-01,5.296562666666661e-01,2.351718666666665e-01,1.384693758732819e+00,1.389329498188931e+00,2.142982133333327e-01,,False,True,False,False,
0.01,0.05,0.05,0.6,2,4.494700799999995e-01,-4.494700799999995e-01,5.295900444444437e-01,2.352049777777776e-01,1.384600106368022e+00,1.389228516824894e+00,2.142651022222214e-01,,False,True,False,False,
0.01,0.05,0.05,0.8,1,5.992934399999994e-01,-5.992934399999994e-01,7.053750222222219e-01,1.473124888888888e-01,1.845079833675115e+00,1.851168873119935e+00,4.519809511111104e-01,,False,True,False,False,
0.01,0.05,0.05,0.8,2,5.992934399999995e-01,-5.992934399999995e-01,7.053087999999994e-01,1.473455999999999e-01,1.844986181310318e+00,1.851067941037791e+00,4.519478399999992e-01,,False,True,False,False,
0.01,0.05,0.05,1.0,1,7.491167999999995e-01,-7.491167999999995e-01,8.810937777777770e-01,5.945311111111107e-02,2.305465908617411e+00,2.313008625388979e+00,6.896636888888880e-01,-7.300885452268213e-02,True,True,True,False,
0.01,0.05,0.05,1.0,2,7.491167999999995e-01,-7.491167999999995e-01,8.810275555555552e-01,5.948622222222218e-02,2.305372256252614e+00,2.312907722924057e+00,6.896305777777771e-01,-7.322936705282823e-02,True,True,True,False,
0.01,0.05,0.1,0.6,1,4.258137599999997e-01,-4.258137599999997e-01,4.831263999999994e-01,2.584367999999998e-01,1.285435501657570e+00,1.287988317621393e+00,1.673769599999994e-01,,False,True,False,False,
0.01,0.05,0.1,0.6,2,4.258137599999999e-01,-4.258137599999999e-01,4.828615111111108e-01,2.585692444444445e-01,1.285060892198381e+00,1.287590924351120e+00,1.672445155555553e-01,,False,True,False,False,
0.01,0.05,0.1,0.8,1,5.677516799999994e-01,-5.677516799999994e-01,6.408351999999997e-01,1.795823999999999e-01,1.709199957002183e+00,1.712322076832348e+00,3.881692799999993e-01,,False,True,False,False,
0.01,0.05,0.1,0.8,2,5.677516799999994e-01,-5.677516799999994e-01,6.405703111111101e-01,1.797148444444444e-01,1.708825347542993e+00,1.711925575040931e+00,3.880368355555545e-01,,False,True,False,False,
0.01,0.05,0.1,1.0,1,7.096895999999996e-01,-7.096895999999996e-01,7.985439999999994e-01,1.007279999999999e-01,2.132964412346796e+00,2.136662676497306e+00,6.089615999999993e-01,-3.697933232660929e-01,True,True,True,False,
0.01,0.05,0.1,1.0,2,7.096895999999996e-01,-7.096895999999996e-01,7.982791111111109e-01,1.008604444444444e-01,2.132589802887608e+00,2.136266713296357e+00,6.088291555555551e-01,-3.705140261939069e-01,True,True,True,False,
0.01,0.1,0.01,0.6,1,3.700899839999998e-01,-3.700899839999998e-01,5.725829439999994e-01,2.137085279999999e-01,1.333140839659555e+00,1.363550987703543e+00,1.563814559999995e-01,,False,True,False,False,
0.01,0.1,0.01,0.6,2,3.700899839999998e-01,-3.700899839999998e-01,5.725802951111112e-01,2.137098524444443e-01,1.333137093564964e+00,1.363546538416122e+00,1.563801315555554e-01,,False,True,False,False,
0.01,0.1,0.01,0.8,1,4.934533119999998e-01,-4.934533119999998e-01,7.634105919999998e-01,1.182947039999999e-01,1.777473979093995e+00,1.818011994571608e+00,3.751586079999997e-01,,False,True,False,False,
0.01,0.1,0.01,0.8,2,4.934533119999998e-01,-4.934533119999998e-01,7.634079431111106e-01,1.182960284444444e-01,1.777470232999403e+00,1.818007545340674e+00,3.751572835555551e-01,,False,True,False,False,
0.01,0.1,0.01,1.0,1,6.168166399999997e-01,-6.168166399999997e-01,9.542382399999993e-01,2.288087999999999e-02,2.221807118528434e+00,2.272473001871913e+00,5.939357599999994e-01,1.884535133417586e-02,True,True,True,False,
0.01,0.1,0.01,1.0,2,6.168166399999998e-01,-6.168166399999998e-01,9.542355911111104e-01,2.288220444444444e-02,2.221803372433842e+00,2.272468552674875e+00,5.939344355555550e-01,1.883490195251913e-02,True,True,True,False,
0.01,0.1,0.05,0.6,1,3.551368533333331e-01,-3.551368533333331e-01,5.296562666666661e-01,2.351718666666665e-01,1.251286430198404e+00,1.275394755226431e+00,1.199649866666661e-01,,False,True,False,False,
0.01,0.1,0.05,0.6,2,3.551368533333331e-01,-3.551368533333331e-01,5.295900444444437e-01,2.352049777777777e-01,1.251192777833606e+00,1.275284752155642e+00,1.199318755555550e-01,,False,True,False,False,
0.01,0.1,0.05,0.8,1,4.735158044444442e-01,-4.735158044444442e-01,7.053750222222219e-01,1.473124888888888e-01,1.667203395629229e+00,1.699142300142833e+00,3.262033155555552e-01,,False,True,False,False,
0.01,0.1,0.05,0.8,2,4.735158044444442e-01,-4.735158044444442e-01,7.053087999999995e-01,1.473455999999999e-01,1.667109743264431e+00,1.699032336850725e+00,3.261702044444439e-01,,False,True,False,False,
0.01,0.1,0.05,1.0,1,5.918947555555552e-01,-5.918947555555552e-01,8.810937777777770e-01,5.945311111111107e-02,2.083120361060052e+00,2.122890149671325e+00,5.324416444444436e-01,-2.631692300547814e-01,True,True,True,False,
0.01,0.1,0.05,1.0,2,5.918947555555552e-01,-5.918947555555552e-01,8.810275555555553e-01,5.948622222222219e-02,2.083026708695256e+00,2.122780210292500e+00,5.324085333333328e-01,-2.633735784233648e-01,True,True,True,False,
0.01,0.1,0.1,0.6,1,3.364454399999998e-01,-3.364454399999998e-01,4.831263999999994e-01,2.584367999999998e-01,1.159049611467071e+00,1.177466182060025e+00,7.800863999999946e-02,,False,True,False,False,
0.01,0.1,0.1,0.6,2,3.364454399999998e-01,-3.364454399999998e-01,4.828615111111105e-01,2.585692444444445e-01,1.158675002007882e+00,1.177031474531244e+00,7.787619555555508e-02,,False,True,False,False,
0.01,0.1,0.1,0.8,1,4.485939199999998e-01,-4.485939199999998e-01,6.408351999999997e-01,1.795823999999999e-01,1.540685436748185e+00,1.564488745398964e+00,2.690115199999996e-01,,False,True,False,False,
