d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.01,0.0,0.01,1,9.637759999999997e-01,-9.637759999999997e-01,9.542382399999996e-01,2.288088000000000e-02,2.712481751032723e+00,2.725970180579383e+00,5.916985659614886e-01,True,False,masked,False,
0.01,0.0,0.01,2,9.637759999999996e-01,-9.637759999999996e-01,9.542355911111107e-01,2.288220444444445e-02,2.712478004938131e+00,2.725970180579383e+00,5.916851332849384e-01,True,False,masked,False,
0.01,0.0,0.05,1,9.248355555555552e-01,-9.248355555555552e-01,8.810937777777772e-01,5.945311111111107e-02,2.553969755887400e+00,2.615829971263044e+00,1.965461115660757e-01,True,False,masked,False,
0.01,0.0,0.05,2,9.248355555555552e-01,-9.248355555555552e-01,8.810275555555556e-01,5.948622222222220e-02,2.553876103522604e+00,2.615829971263044e+00,1.962966293145330e-01,True,False,masked,False,
0.01,0.0,0.1,1,8.761599999999997e-01,-8.761599999999997e-01,7.985439999999995e-01,1.007279999999999e-01,2.368389109760471e+00,2.478154709617621e+00,-1.575881190676102e-01,True,False,masked,False,
0.01,0.0,0.1,2,8.761599999999996e-01,-8.761599999999996e-01,7.982791111111112e-01,1.008604444444444e-01,2.368014500301283e+00,2.478154709617621e+00,-1.583838499983804e-01,True,False,masked,False,
0.01,0.02,0.01,1,8.882159615999998e-01,-8.882159615999998e-01,9.542382399999998e-01,2.288088000000000e-02,2.605623719954012e+00,2.607296080708372e+00,4.318463175651979e-01,True,True,unmasked,False,
0.01,0.02,0.01,2,8.882159615999999e-01,-8.882159615999999e-01,9.542355911111108e-01,2.288220444444445e-02,2.605619973859420e+00,2.607292202868089e+00,4.318340655073737e-01,True,True,unmasked,False,
0.01,0.02,0.05,1,8.523284479999997e-01,-8.523284479999997e-01,8.810937777777774e-01,5.945311111111110e-02,2.451429221013889e+00,2.451766733201838e+00,7.599195648903778e-02,True,True,unmasked,False,
0.01,0.02,0.05,2,8.523284479999998e-01,-8.523284479999998e-01,8.810275555555558e-01,5.948622222222221e-02,2.451335568649094e+00,2.451671541555505e+00,7.575671219097568e-02,True,True,unmasked,False,
0.01,0.02,0.1,1,8.074690559999997e-01,-8.074690559999997e-01,7.985439999999997e-01,1.007280000000000e-01,2.271245445143460e+00,2.283867380383600e+00,-2.508923159457944e-01,True,False,masked,False,
0.01,0.02,0.1,2,8.074690559999997e-01,-8.074690559999997e-01,7.982791111111113e-01,1.008604444444444e-01,2.270870835684272e+00,2.283867380383600e+00,-2.516534425452130e-01,True,False,masked,False,
0.01,0.05,0.01,1,7.806585599999996e-01,-7.806585599999996e-01,9.542382399999993e-01,2.288087999999999e-02,2.453514583877682e+00,2.465764308265954e+00,2.462425776260359e-01,True,True,unmasked,False,
0.01,0.05,0.01,2,7.806585599999994e-01,-7.806585599999994e-01,9.542355911111102e-01,2.288220444444444e-02,2.453510837783089e+00,2.465760207842151e+00,2.462312597140969e-01,True,True,unmasked,False,
0.01,0.05,0.05,1,7.491167999999995e-01,-7.491167999999995e-01,8.810937777777770e-01,5.945311111111107e-02,2.305465908617411e+00,2.313008625388979e+00,-7.300885452268213e-02,True,True,unmasked,False,
0.01,0.05,0.05,2,7.491167999999995e-01,-7.491167999999995e-01,8.810275555555552e-01,5.948622222222218e-02,2.305372256252614e+00,2.312907722924057e+00,-7.322936705282823e-02,True,True,unmasked,False,
0.01,0.05,0.1,1,7.096895999999996e-01,-7.096895999999996e-01,7.985439999999994e-01,1.007279999999999e-01,2.132964412346796e+00,2.136662676497306e+00,-3.697933232660929e-01,True,True,unmasked,False,
0.01,0.05,0.1,2,7.096895999999996e-01,-7.096895999999996e-01,7.982791111111109e-01,1.008604444444444e-01,2.132589802887608e+00,2.136266713296357e+00,-3.705140261939069e-01,True,True,unmasked,False,
0.01,0.1,0.01,1,6.168166399999997e-01,-6.168166399999997e-01,9.542382399999993e-01,2.288087999999999e-02,2.221807118528434e+00,2.272473001871913e+00,1.884535133417586e-02,True,True,unmasked,False,
0.01,0.1,0.01,2,6.168166399999998e-01,-6.168166399999998e-01,9.542355911111104e-01,2.288220444444444e-02,2.221803372433842e+00,2.272468552674875e+00,1.883490195251913e-02,True,True,unmasked,False,
0.01,0.1,0.05,1,5.918947555555552e-01,-5.918947555555552e-01,8.810937777777770e-01,5.945311111111107e-02,2.083120361060052e+00,2.122890149671325e+00,-2.631692300547814e-01,True,True,unmasked,False,
0.01,0.1,0.05,2,5.918947555555552e-01,-5.918947555555552e-01,8.810275555555553e-01,5.948622222222219e-02,2.083026708695256e+00,2.122780210292500e+00,-2.633735784233648e-01,True,True,unmasked,False,
0.01,0.1,0.1,1,5.607423999999996e-01,-5.607423999999996e-01,7.985439999999994e-01,1.007279999999999e-01,1.922321262029298e+00,1.951516906505048e+00,,False,True,unmasked,False,
0.01,0.1,0.1,2,5.607423999999996e-01,-5.607423999999996e-01,7.982791111111109e-01,1.008604444444444e-01,1.921946652570110e+00,1.951083369201947e+00,,False,True,unmasked,False,
0.05,0.0,0.01,1,8.623999999999995e-01,-8.623999999999995e-01,8.538759999999999e-01,7.306199999999996e-02,2.427180795975445e+00,2.439235552381113e+00,-2.381674126894495e-03,True,False,masked,False,
0.05,0.0,0.01,2,8.623999999999996e-01,-8.623999999999996e-01,8.538631111111110e-01,7.306844444444438e-02,2.427162568333975e+00,2.439235552381113e+00,-2.424866450352892e-03,True,False,masked,False,
0.05,0.0,0.05,1,8.275555555555549e-01,-8.275555555555549e-01,7.886777777777775e-01,1.056611111111111e-01,2.285699099959474e+00,2.340680580567734e+00,-2.529547941226923e-01,True,False,masked,False,
0.05,0.0,0.05,2,8.275555555555550e-01,-8.275555555555550e-01,7.883555555555550e-01,1.058222222222222e-01,2.285243408922709e+00,2.340680580567735e+00,-2.538740168856362e-01,True,False,masked,False,
0.05,0.0,0.1,1,7.839999999999995e-01,-7.839999999999995e-01,7.155999999999998e-01,1.421999999999999e-01,2.120754658134692e+00,2.217486865801011e+00,-4.982760598476021e-01,True,False,masked,False,
0.05,0.0,0.1,2,7.839999999999995e-01,-7.839999999999995e-01,7.143111111111109e-01,1.428444444444443e-01,2.118931893987633e+00,2.217486865801011e+00,-5.014001068388680e-01,True,False,masked,False,
0.05,0.02,0.01,1,7.947878399999998e-01,-7.947878399999998e-01,8.538760000000000e-01,7.306200000000000e-02,2.331562762322106e+00,2.333059736901621e+00,-9.997063398448791e-02,True,True,unmasked,False,
0.05,0.02,0.01,2,7.947878399999998e-01,-7.947878399999998e-01,8.538631111111112e-01,7.306844444444438e-02,2.331544534680635e+00,2.333040868161731e+00,-1.000119536811077e-01,True,True,unmasked,False,
0.05,0.02,0.05,1,7.626751999999997e-01,-7.626751999999997e-01,7.886777777777776e-01,1.056611111111111e-01,2.193944421201219e+00,2.194252581500619e+00,-3.345773838340289e-01,True,True,unmasked,False,
0.05,0.02,0.05,2,7.626751999999996e-01,-7.626751999999996e-01,7.883555555555553e-01,1.058222222222222e-01,2.193488730164454e+00,2.193789363334910e+00,-3.354620767408807e-01,True,True,unmasked,False,
0.05,0.02,0.1,1,7.225343999999997e-01,-7.225343999999997e-01,7.155999999999999e-01,1.422000000000000e-01,2.033829172995293e+00,2.043635895522213e+00,-5.652207031066416e-01,True,False,masked,False,
0.05,0.02,0.1,2,7.225343999999997e-01,-7.225343999999997e-01,7.143111111111110e-01,1.428444444444443e-01,2.032006408848234e+00,2.043635895522213e+00,-5.682406885952302e-01,True,False,masked,False,
0.05,0.05,0.01,1,6.985439999999994e-01,-6.985439999999994e-01,8.538759999999996e-01,7.306199999999995e-02,2.195453418499239e+00,2.206416047178771e+00,-2.238496232081683e-01,True,True,unmasked,False,
0.05,0.05,0.01,2,6.985439999999994e-01,-6.985439999999994e-01,8.538631111111106e-01,7.306844444444438e-02,2.195435190857768e+00,2.206396095402948e+00,-2.238888055421836e-01,True,True,unmasked,False,
0.05,0.05,0.05,1,6.703199999999992e-01,-6.703199999999992e-01,7.886777777777773e-01,1.056611111111110e-01,2.063334444805538e+00,2.070112595546911e+00,-4.397677833016964e-01,True,True,unmasked,False,
0.05,0.05,0.05,2,6.703199999999995e-01,-6.703199999999995e-01,7.883555555555548e-01,1.058222222222221e-01,2.062878753768774e+00,2.069621592828319e+00,-4.406106503086126e-01,True,True,unmasked,False,
0.05,0.05,0.1,1,6.350399999999994e-01,-6.350399999999994e-01,7.155999999999997e-01,1.421999999999999e-01,1.910093405883595e+00,1.913488083683825e+00,,False,True,unmasked,False,
0.05,0.05,0.1,2,6.350399999999994e-01,-6.350399999999994e-01,7.143111111111107e-01,1.428444444444443e-01,1.908270641736537e+00,1.911560791664015e+00,,False,True,unmasked,False,
0.05,0.1,0.01,1,5.519359999999996e-01,-5.519359999999996e-01,8.538759999999996e-01,7.306199999999996e-02,1.988118396546844e+00,2.033457716769148e+00,,False,True,unmasked,False,
0.05,0.1,0.01,2,5.519359999999998e-01,-5.519359999999998e-01,8.538631111111108e-01,7.306844444444438e-02,1.988100168905374e+00,2.033436067952317e+00,,False,True,unmasked,False,
0.05,0.1,0.05,1,5.296355555555551e-01,-5.296355555555551e-01,7.886777777777773e-01,1.056611111111111e-01,1.864376595457281e+00,1.900027851237065e+00,,False,True,unmasked,False,
0.05,0.1,0.05,2,5.296355555555551e-01,-5.296355555555551e-01,7.883555555555549e-01,1.058222222222221e-01,1.863920904420516e+00,1.899492883570717e+00,,False,True,unmasked,False,
0.05,0.1,0.1,1,5.017599999999997e-01,-5.017599999999997e-01,7.155999999999996e-01,1.421999999999999e-01,1.721607022290510e+00,1.747966198300184e+00,,False,True,unmasked,False,
0.05,0.1,0.1,2,5.017599999999995e-01,-5.017599999999995e-01,7.143111111111107e-01,1.428444444444443e-01,1.719784258143451e+00,1.745856192309996e+00,,False,True,unmasked,False,
0.1,0.0,0.01,1,7.435999999999995e-01,-7.435999999999995e-01,7.362639999999996e-01,1.318679999999999e-01,2.092843739267696e+00,2.103218409961265e+00,-4.928834607421824e-01,True,False,masked,False,
0.1,0.0,0.01,2,7.435999999999997e-01,-7.435999999999997e-01,7.362391111111108e-01,1.318804444444444e-01,2.092808541063478e+00,2.103218409961266e+00,-4.929447551541186e-01,True,False,masked,False,
0.1,0.0,0.05,1,7.135555555555549e-01,-7.135555555555549e-01,6.803777777777772e-01,1.598111111111110e-01,1.971319425043935e+00,2.018239888346669e+00,,False,False,masked,False,
0.1,0.0,0.05,2,7.135555555555552e-01,-7.135555555555552e-01,6.797555555555552e-01,1.601222222222222e-01,1.970439469938459e+00,2.018239888346669e+00,,False,False,masked,False,
0.1,0.0,0.1,1,6.759999999999995e-01,-6.759999999999995e-01,6.183999999999996e-01,1.907999999999999e-01,1.830558035135733e+00,1.912016736328423e+00,,False,False,masked,False,
0.1,0.0,0.1,2,6.759999999999995e-01,-6.759999999999995e-01,6.159111111111111e-01,1.920444444444443e-01,1.827038214713827e+00,1.912016736328423e+00,,False,False,masked,False,
0.1,0.02,0.01,1,6.853017599999998e-01,-6.853017599999998e-01,7.362639999999997e-01,1.318680000000000e-01,2.010397577597216e+00,2.011689021648323e+00,-5.550061338283433e-01,True,True,unmasked,False,
0.1,0.02,0.01,2,6.853017599999999e-01,-6.853017599999999e-01,7.362391111111108e-01,1.318804444444444e-01,2.010362379392996e+00,2.011652585302717e+00,-5.550655780594942e-01,True,True,unmasked,False,
0.1,0.02,0.05,1,6.576127999999997e-01,-6.576127999999997e-01,6.803777777777774e-01,1.598111111111110e-01,1.892204421420746e+00,1.892478285442310e+00,,False,True,unmasked,False,
0.1,0.02,0.05,2,6.576127999999999e-01,-6.576127999999999e-01,6.797555555555552e-01,1.601222222222222e-01,1.891324466315270e+00,1.891583685732652e+00,,False,True,unmasked,False,
0.1,0.02,0.1,1,6.230015999999997e-01,-6.230015999999997e-01,6.183999999999997e-01,1.907999999999999e-01,1.755606979071659e+00,1.762114624200275e+00,,False,False,masked,False,
0.1,0.02,0.1,2,6.230015999999996e-01,-6.230015999999996e-01,6.159111111111111e-01,1.920444444444443e-01,1.752087158649753e+00,1.762114624200275e+00,,False,False,masked,False,
0.1,0.05,0.01,1,6.023159999999995e-01,-6.023159999999995e-01,7.362639999999994e-01,1.318679999999998e-01,1.893037990321376e+00,1.902492303849872e+00,,False,True,unmasked,False,
0.1,0.05,0.01,2,6.023159999999996e-01,-6.023159999999996e-01,7.362391111111105e-01,1.318804444444443e-01,1.893002792117157e+00,1.902453776138256e+00,,False,True,unmasked,False,
0.1,0.05,0.05,1,5.779799999999994e-01,-5.779799999999994e-01,6.803777777777771e-01,1.598111111111109e-01,1.779586635651001e+00,1.785468902998678e+00,,False,True,unmasked,False,
0.1,0.05,0.05,2,5.779799999999994e-01,-5.779799999999994e-01,6.797555555555550e-01,1.601222222222221e-01,1.778706680545524e+00,1.784520659122377e+00,,False,True,unmasked,False,
0.1,0.05,0.1,1,5.475599999999995e-01,-5.475599999999995e-01,6.183999999999994e-01,1.907999999999998e-01,1.648916445184532e+00,1.651957037698013e+00,,False,True,unmasked,False,
0.1,0.05,0.1,2,5.475599999999994e-01,-5.475599999999994e-01,6.159111111111107e-01,1.920444444444442e-01,1.645396624762626e+00,1.648233539751115e+00,,False,True,unmasked,False,
0.1,0.1,0.01,1,4.759039999999995e-01,-4.759039999999995e-01,7.362639999999995e-01,1.318679999999999e-01,1.714264425474668e+00,1.753361679645131e+00,,False,True,unmasked,False,
0.1,0.1,0.01,2,4.759039999999998e-01,-4.759039999999998e-01,7.362391111111106e-01,1.318804444444444e-01,1.714229227270450e+00,1.753319874918069e+00,,False,True,unmasked,False,
0.1,0.1,0.05,1,4.566755555555551e-01,-4.566755555555551e-01,6.803777777777772e-01,1.598111111111110e-01,1.608036245141534e+00,1.638861169880843e+00,,False,True,unmasked,False,
0.1,0.1,0.05,2,4.566755555555552e-01,-4.566755555555552e-01,6.797555555555550e-01,1.601222222222221e-01,1.607156290036058e+00,1.637828047568628e+00,,False,True,unmasked,False,
0.1,0.1,0.1,1,4.326399999999995e-01,-4.326399999999995e-01,6.183999999999995e-01,1.907999999999998e-01,1.486395022596616e+00,1.509431587850207e+00,,False,True,unmasked,False,
0.1,0.1,0.1,2,4.326399999999996e-01,-4.326399999999996e-01,6.159111111111109e-01,1.920444444444443e-01,1.482875202174710e+00,1.505355594389741e+00,,False,True,unmasked,False,
