d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.46,0.0,0.46,1,8.073599999999999e-02,-8.073599999999999e-02,2.551974399999999e-01,3.724012800000001e-01,4.750816269026482e-01,5.353280679305114e-01,,False,True,unmasked,True,0.46
0.46,0.0,0.46,2,8.073599999999999e-02,-8.073599999999999e-02,7.523399111111093e-02,4.623830044444445e-01,2.205748767525441e-01,2.283558923435084e-01,,False,False,masked,True,0.46
0.47,0.0,0.47,1,7.387022222222223e-02,-7.387022222222223e-02,2.600512177777777e-01,3.699743911111110e-01,4.722362292151536e-01,5.406790012525572e-01,,False,True,unmasked,True,0.47
0.47,0.0,0.47,2,7.387022222222223e-02,-7.387022222222223e-02,6.993976888888900e-02,4.650301155555554e-01,2.033780398340878e-01,2.089365402443621e-01,,False,False,masked,True,0.47
0.48,0.0,0.48,1,6.739200000000006e-02,-6.739200000000006e-02,2.654438400000000e-01,3.672780800000002e-01,4.707009589718414e-01,5.477302761686471e-01,,False,True,unmasked,True,0.48
0.48,0.0,0.48,2,6.739200000000005e-02,-6.739200000000005e-02,6.490367999999996e-02,4.675481600000002e-01,1.870943448993710e-01,1.906133607908954e-01,,False,False,masked,True,0.48
0.49,0.0,0.49,1,6.129066666666665e-02,-6.129066666666665e-02,2.713582400000000e-01,3.643208800000001e-01,4.704365953165818e-01,5.563877792918965e-01,,False,True,unmasked,True,0.49
0.49,0.0,0.49,2,6.129066666666664e-02,-6.129066666666664e-02,6.011292444444455e-02,4.699435377777776e-01,1.716906050701312e-01,1.733561840937771e-01,,False,False,masked,True,0.49
0.5,0.0,0.5,1,5.555555555555558e-02,-5.555555555555558e-02,2.777777777777778e-01,3.611111111111113e-01,4.714045207910317e-01,5.665577237325318e-01,,False,True,unmasked,True,0.5
0.5,0.0,0.5,2,5.555555555555558e-02,-5.555555555555558e-02,5.555555555555547e-02,4.722222222222222e-01,1.571348402636771e-01,1.571348402636773e-01,,False,False,masked,True,0.5
0.51,0.0,0.51,1,5.017599999999994e-02,-5.017599999999994e-02,2.846862399999999e-01,3.576568799999998e-01,4.735667213346342e-01,5.781483761849983e-01,,False,True,unmasked,True,0.51
0.51,0.0,0.51,2,5.017599999999994e-02,-5.017599999999994e-02,5.122047999999993e-02,4.743897599999999e-01,1.433962771928921e-01,1.434038848487779e-01,,False,True,unmasked,True,0.51
