d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.016,0.016,0.016,2,8.831112272172369e-01,-8.831112272172369e-01,9.276296019057775e-01,3.618519904711109e-02,2.560774238488470e+00,2.561548061597912e+00,3.058821049298821e-01,True,True,unmasked,True,0.016
0.017,0.017,0.017,1,8.761797126481276e-01,-8.761797126481276e-01,9.232693564817775e-01,3.836532175911111e-02,2.544805278363153e+00,2.545676486495824e+00,2.756344430717401e-01,True,True,unmasked,True,0.017
0.017,0.017,0.017,2,8.761797126481278e-01,-8.761797126481278e-01,9.232564036302215e-01,3.837179818488890e-02,2.544786960264811e+00,2.545657695528106e+00,2.755816302671220e-01,True,True,unmasked,True,0.017
0.018,0.018,0.018,1,8.692910152990722e-01,-8.692910152990722e-01,9.189158986240005e-01,4.054205068800002e-02,2.528906469999347e+00,2.529880074646738e+00,2.461042828770540e-01,True,True,unmasked,True,0.018
0.018,0.018,0.018,2,8.692910152990722e-01,-8.692910152990722e-01,9.189005332480005e-01,4.054973337600001e-02,2.528884740076217e+00,2.529857750375029e+00,2.460428380465044e-01,True,True,unmasked,True,0.018
0.019,0.019,0.019,1,8.624449401592954e-01,-8.624449401592954e-01,9.145799979039995e-01,4.271000104799999e-02,2.513092768084320e+00,2.514174096893412e+00,2.172948785511840e-01,True,True,unmasked,True,0.019
0.019,0.019,0.019,2,8.624449401592955e-01,-8.624449401592955e-01,9.145619389191102e-01,4.271903054044441e-02,2.513067228822968e+00,2.514147819779778e+00,2.172239997528506e-01,True,True,unmasked,True,0.019
0.02,0.02,0.02,1,8.556412928000002e-01,-8.556412928000002e-01,9.102616177777777e-01,4.486919111111112e-02,2.497363845973216e+00,2.498558172021514e+00,1.891688125728493e-01,True,True,unmasked,True,0.02
0.02,0.02,0.02,2,8.556412928000001e-01,-8.556412928000001e-01,9.102405688888890e-01,4.487971555555557e-02,2.497334078349077e+00,2.498527498504368e+00,1.890876761200608e-01,True,True,unmasked,True,0.02
0.021,0.021,0.021,1,8.488798793735032e-01,-8.488798793735032e-01,9.059607217439991e-01,4.701963912799995e-02,2.481719377903326e+00,2.483031920010761e+00,1.616923152539093e-01,True,True,unmasked,True,0.021
0.021,0.021,0.021,2,8.488798793735034e-01,-8.488798793735034e-01,9.059363714879989e-01,4.703181425599996e-02,2.481684941441044e+00,2.482996382429918e+00,1.616000768645155e-01,True,True,unmasked,True,0.021
0.022,0.022,0.022,1,8.421605066123939e-01,-8.421605066123939e-01,9.016772733439994e-01,4.916136332799997e-02,2.466159038992920e+00,2.467594962033043e+00,1.348347464491250e-01,True,True,unmasked,True,0.022
0.022,0.022,0.022,2,8.421605066123938e-01,-8.421605066123938e-01,9.016492951324433e-01,4.917535243377774e-02,2.466119471826687e+00,2.467554068554913e+00,1.347305423347872e-01,True,True,unmasked,True,0.022
0.023,0.023,0.023,1,8.354829818286720e-01,-8.354829818286720e-01,8.974112361617779e-01,5.129438191911113e-02,2.450682505240013e+00,2.452246920450499e+00,1.085681714363911e-01,True,True,unmasked,True,0.023
0.023,0.023,0.023,2,8.354829818286723e-01,-8.354829818286723e-01,8.973792883235558e-01,5.131035583822224e-02,2.450637324173911e+00,2.452200154993406e+00,1.084511193373985e-01,True,True,unmasked,True,0.023
0.024,0.024,0.024,1,8.288471129128961e-01,-8.288471129128961e-01,8.931625738240002e-01,5.341871308800000e-02,2.435289453521163e+00,2.436987418813610e+00,8.286701047827283e-02,True,True,unmasked,True,0.024
0.024,0.024,0.024,2,8.288471129128964e-01,-8.288471129128964e-01,8.931262996480007e-01,5.343685017599999e-02,2.435238154089501e+00,2.436934240973255e+00,8.273621064870285e-02,True,True,unmasked,True,0.024
0.025,0.025,0.025,1,8.222527083333330e-01,-8.222527083333330e-01,8.889312500000000e-01,5.553437499999998e-02,2.419979561590277e+00,2.421816081859284e+00,5.770774670597179e-02,True,True,unmasked,True,0.025
0.025,0.025,0.025,2,8.222527083333331e-01,-8.222527083333331e-01,8.888902777777774e-01,5.555486111111110e-02,2.419921618117929e+00,2.421755926834375e+00,5.756228285339993e-02,True,True,unmasked,True,0.025
0.026,0.026,0.026,1,8.156995771351032e-01,-8.156995771351032e-01,8.847172284017770e-01,5.764138579911107e-02,2.404752508077389e+00,2.406732535508928e+00,3.306868065790769e-02,True,True,unmasked,True,0.026
0.026,0.026,0.026,2,8.156995771351031e-01,-8.156995771351031e-01,8.846711714702218e-01,5.766441426488884e-02,2.404687373740143e+00,2.406664814026981e+00,3.290762084131293e-02,True,True,unmasked,True,0.026
0.027,0.027,0.027,1,8.091875289393272e-01,-8.091875289393272e-01,8.805204727839991e-01,5.973976360799994e-02,2.389607972487469e+00,2.391736406866519e+00,8.929722500610637e-03,True,True,unmasked,True,0.027
0.027,0.027,0.027,2,8.091875289393272e-01,-8.091875289393272e-01,8.804689295679993e-01,5.976553521599994e-02,2.389535079372354e+00,2.391660505109831e+00,8.752119989689167e-03,True,True,unmasked,True,0.027
