d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.0014,0.0014,0.0014,1,9.893118706342412e-01,-9.893118706342412e-01,9.934845073774959e-01,3.257746311251909e-03,2.804097529208448e+00,2.804103738292810e+00,8.967603006632379e-01,True,True,unmasked,True,0.0014
0.0014,0.0014,0.0014,2,9.893118706342412e-01,-9.893118706342412e-01,9.934845000669914e-01,3.257749966503820e-03,2.804097518869834e+00,2.804103727932461e+00,8.967602452498283e-01,True,True,unmasked,True,0.0014
0.0015,0.0015,0.0015,1,9.885518846259462e-01,-9.885518846259462e-01,9.930204790089999e-01,3.489760495500001e-03,2.802366511476251e+00,2.802373636993307e+00,8.906617115473034e-01,True,True,unmasked,True,0.0015
0.0015,0.0015,0.0015,2,9.885518846259460e-01,-9.885518846259460e-01,9.930204700180000e-01,3.489764991000001e-03,2.802366498761057e+00,2.802373624249471e+00,8.906616442797534e-01,True,True,unmasked,True,0.0015
0.0016,0.0016,0.0016,1,9.877923577665926e-01,-9.877923577665926e-01,9.925566323032059e-01,3.721683848396798e-03,2.800636399988571e+00,2.800644504674712e+00,8.846457676581138e-01,True,True,unmasked,True,0.0016
0.0016,0.0016,0.0016,2,9.877923577665925e-01,-9.877923577665925e-01,9.925566213921904e-01,3.721689303904711e-03,2.800636384558064e+00,2.800644489207128e+00,8.846456870285820e-01,True,True,unmasked,True,0.0016
0.0017,0.0017,0.0017,1,9.870332898517734e-01,-9.870332898517734e-01,9.920929672228479e-01,3.953516388575909e-03,2.798907194403630e+00,2.798916340935291e+00,8.787073419875725e-01,True,True,unmasked,True,0.0017
0.0017,0.0017,0.0017,2,9.870332898517732e-01,-9.870332898517732e-01,9.920929541363619e-01,3.953522931818484e-03,2.798907175896544e+00,2.798916322380952e+00,8.787072464111935e-01,True,True,unmasked,True,0.0017
0.0018,0.0018,0.0018,1,9.862746806771396e-01,-9.862746806771396e-01,9.916294837306626e-01,4.185258134668801e-03,2.797178894379738e+00,2.797189145373430e+00,8.728419112827097e-01,True,True,unmasked,True,0.0018
0.0018,0.0018,0.0018,2,9.862746806771395e-01,-9.862746806771395e-01,9.916294681973247e-01,4.185265901337601e-03,2.797178872412280e+00,2.797189123346580e+00,8.728417990990135e-01,True,True,unmasked,True,0.0018
0.0019,0.0019,0.0019,1,9.855165300384005e-01,-9.855165300384005e-01,9.911661817893901e-01,4.416909105304796e-03,2.795451499575289e+00,2.795462917587631e+00,8.670454552094697e-01,True,True,unmasked,True,0.0019
0.0019,0.0019,0.0019,2,9.855165300384005e-01,-9.855165300384005e-01,9.911661635218918e-01,4.416918239054043e-03,2.795451473741146e+00,2.795462891679755e+00,8.670453246837128e-01,True,True,unmasked,True,0.0019
0.002,0.002,0.002,1,9.847588377313286e-01,-9.847588377313286e-01,9.907030613617782e-01,4.648469319111111e-03,2.793725009648782e+00,2.793737657176533e+00,8.613143767990825e-01,True,True,unmasked,True,0.002
0.002,0.002,0.002,2,9.847588377313282e-01,-9.847588377313282e-01,9.907030400568896e-01,4.648479971555556e-03,2.793724979519119e+00,2.793737626956347e+00,8.613142261234908e-01,True,True,unmasked,True,0.002
0.0021,0.0021,0.0021,1,9.840016035517515e-01,-9.840016035517515e-01,9.902401224105748e-01,4.879938794712801e-03,2.791999424258789e+00,2.792013363738883e+00,8.556454388410256e-01,True,True,unmasked,True,0.0021
0.0021,0.0021,0.0021,2,9.840016035517516e-01,-9.840016035517516e-01,9.902400977491486e-01,4.879951125425599e-03,2.791999389382265e+00,2.792013328752327e+00,8.556452661359920e-01,True,True,unmasked,True,0.0021
0.0022,0.0022,0.0022,1,9.832448272955595e-01,-9.832448272955595e-01,9.897773648985340e-01,5.111317550732799e-03,2.790274743063982e+00,2.790290036873558e+00,8.500357124162231e-01,True,True,unmasked,True,0.0022
0.0022,0.0022,0.0022,2,9.832448272955595e-01,-9.832448272955595e-01,9.897773365455134e-01,5.111331727243377e-03,2.790274702966756e+00,2.790289996643793e+00,8.500355157314425e-01,True,True,unmasked,True,0.0022
0.0023,0.0023,0.0023,1,9.824885087587021e-01,-9.824885087587021e-01,9.893147887884162e-01,5.342605605791910e-03,2.788550965723126e+00,2.788567676179559e+00,8.444825348048304e-01,True,True,unmasked,True,0.0023
0.0023,0.0023,0.0023,2,9.824885087587021e-01,-9.824885087587021e-01,9.893147563928322e-01,5.342621803583822e-03,2.788550919908852e+00,2.788567630206954e+00,8.444823121203544e-01,True,True,unmasked,True,0.0023
0.0024,0.0024,0.0024,1,9.817326477371867e-01,-9.817326477371867e-01,9.888523940429820e-01,5.573802978508798e-03,2.786828091895067e+00,2.786846281256004e+00,8.389834747264019e-01,True,True,unmasked,True,0.0024
0.0024,0.0024,0.0024,2,9.817326477371867e-01,-9.817326477371867e-01,9.888523572379642e-01,5.573821381017594e-03,2.786828039844911e+00,2.786846229018132e+00,8.389832239536814e-01,True,True,unmasked,True,0.0024
0.0025,0.0025,0.0025,1,9.809772440270834e-01,-9.809772440270834e-01,9.883901806249997e-01,5.804909687500000e-03,2.785106121238750e+00,2.785125851702139e+00,8.335363033820395e-01,True,True,unmasked,True,0.0025
0.0025,0.0025,0.0025,2,9.809772440270834e-01,-9.809772440270834e-01,9.883901390277776e-01,5.804930486111115e-03,2.785106062411394e+00,2.785125792653769e+00,8.335360223648971e-01,True,True,unmasked,True,0.0025
0.0026,0.0026,0.0026,1,9.802222974245172e-01,-9.802222974245172e-01,9.879281484972394e-01,6.035925751379906e-03,2.783385053413203e+00,2.783406387117326e+00,8.281389701359754e-01,True,True,unmasked,True,0.0026
0.0026,0.0026,0.0026,2,9.802222974245171e-01,-9.802222974245171e-01,9.879281017091464e-01,6.035949145426485e-03,2.783384987244847e+00,2.783406320690413e+00,8.281386566515359e-01,True,True,unmasked,True,0.0026
0.0027,0.0027,0.0027,1,9.794678077256769e-01,-9.794678077256769e-01,9.874662976224780e-01,6.266851188760799e-03,2.781664888077550e+00,2.781687887101058e+00,8.227895819431017e-01,True,True,unmasked,True,0.0027
0.0027,0.0027,0.0027,2,9.794678077256769e-01,-9.794678077256769e-01,9.874662452289562e-01,6.266877385521599e-03,2.781664813981922e+00,2.781687812704738e+00,8.227892337027066e-01,True,True,unmasked,True,0.0027
0.0028,0.0028,0.0028,1,9.787137747268091e-01,-9.787137747268091e-01,9.870046279634948e-01,6.497686018252801e-03,2.779945624891005e+00,2.779970351252945e+00,8.174863858276451e-01,True,True,unmasked,True,0.0028
0.0028,0.0028,0.0028,2,9.787137747268091e-01,-9.787137747268091e-01,9.870045695341002e-01,6.497715232950044e-03,2.779945542259362e+00,2.779970268273525e+00,8.174860004777031e-01,True,True,unmasked,True,0.0028
