d,q,gamma,diamond_norm,trace_distance_for_|0>,trace_distance_for_|1>,trace_distance_for_|+>,trace_distance_for_|->,trace_distance_for_mixed_state,p_success,max_random_probe_trace_norm,shared_p,p
1.100000000000000e-02,1.100000000000000e-02,1.100000000000000e-02,1.613333333333333e-04,1.613333333332851e-04,1.613333333332842e-04,1.613333333333467e-04,1.613333333333467e-04,1.613333333331246e-04,5.000403333333333e-01,1.613333333338185e-04,True,1.100000000000000e-02
1.200000000000000e-02,1.200000000000000e-02,1.200000000000000e-02,1.920000000000000e-04,1.919999999999856e-04,1.920000000000949e-04,1.920000000000255e-04,1.920000000000255e-04,1.920000000000255e-04,5.000480000000000e-01,1.920000000003586e-04,True,1.200000000000000e-02
1.300000000000000e-02,1.300000000000000e-02,1.300000000000000e-02,2.253333333333333e-04,2.253333333333170e-04,2.253333333332060e-04,2.253333333331886e-04,2.253333333331886e-04,2.253333333335216e-04,5.000563333333333e-01,2.253333333336882e-04,True,1.300000000000000e-02
1.400000000000000e-02,1.400000000000000e-02,1.400000000000000e-02,2.613333333333334e-04,2.613333333332801e-04,2.613333333333911e-04,2.613333333333911e-04,2.613333333333911e-04,2.613333333330580e-04,5.000653333333334e-01,2.613333333336687e-04,True,1.400000000000000e-02
1.500000000000000e-02,1.500000000000000e-02,1.500000000000000e-02,3.000000000000000e-04,2.999999999999826e-04,3.000000000000988e-04,3.000000000000780e-04,3.000000000000780e-04,2.999999999999670e-04,5.000750000000000e-01,3.000000000002861e-04,True,1.500000000000000e-02
1.600000000000000e-02,1.600000000000000e-02,1.600000000000000e-02,3.413333333333333e-04,3.413333333333202e-04,3.413333333334295e-04,3.413333333333046e-04,3.413333333333046e-04,3.413333333335822e-04,5.000853333333334e-01,3.413333333336377e-04,True,1.600000000000000e-02
1.700000000000000e-02,1.700000000000000e-02,1.700000000000000e-02,3.853333333333334e-04,3.853333333332862e-04,3.853333333331717e-04,3.853333333334596e-04,3.853333333334596e-04,3.853333333329045e-04,5.000963333333334e-01,3.853333333337094e-04,True,1.700000000000000e-02
1.800000000000000e-02,1.800000000000000e-02,1.800000000000000e-02,4.319999999999999e-04,4.319999999999932e-04,4.319999999999845e-04,4.320000000000990e-04,4.320000000000990e-04,4.319999999999879e-04,5.001080000000000e-01,4.320000000002377e-04,True,1.800000000000000e-02
1.900000000000000e-02,1.900000000000000e-02,1.900000000000000e-02,4.813333333333333e-04,4.813333333333353e-04,4.813333333333336e-04,4.813333333335557e-04,4.813333333335557e-04,4.813333333336112e-04,5.001203333333333e-01,4.813333333337222e-04,True,1.900000000000000e-02
2.000000000000000e-02,2.000000000000000e-02,2.000000000000000e-02,5.333333333333334e-04,5.333333333333024e-04,5.333333333331983e-04,5.333333333333856e-04,5.333333333333856e-04,5.333333333335522e-04,5.001333333333333e-01,5.333333333335799e-04,True,2.000000000000000e-02
2.100000000000000e-02,2.100000000000000e-02,2.100000000000000e-02,5.880000000000001e-04,5.880000000000191e-04,5.880000000001370e-04,5.880000000000329e-04,5.880000000000329e-04,5.880000000002550e-04,5.001470000000000e-01,5.880000000002550e-04,True,2.100000000000000e-02
2.200000000000000e-02,2.200000000000000e-02,2.200000000000000e-02,6.453333333333333e-04,6.453333333333623e-04,6.453333333334699e-04,6.453333333333311e-04,6.453333333333311e-04,6.453333333332201e-04,5.001613333333333e-01,6.453333333335531e-04,True,2.200000000000000e-02
2.300000000000000e-02,2.300000000000000e-02,2.300000000000000e-02,7.053333333333333e-04,7.053333333333339e-04,7.053333333333356e-04,7.053333333333911e-04,7.053333333333911e-04,7.053333333332246e-04,5.001763333333333e-01,7.053333333336685e-04,True,2.300000000000000e-02
2.400000000000000e-02,2.400000000000000e-02,2.400000000000000e-02,7.680000000000000e-04,7.680000000000482e-04,7.679999999998383e-04,7.679999999999354e-04,7.679999999999354e-04,7.679999999999354e-04,5.001920000000000e-01,7.680000000002131e-04,True,2.400000000000000e-02
2.500000000000000e-02,2.500000000000000e-02,2.500000000000000e-02,8.333333333333335e-04,8.333333333332901e-04,8.333333333336163e-04,8.333333333334081e-04,8.333333333334081e-04,8.333333333333526e-04,5.002083333333334e-01,8.333333333336856e-04,True,2.500000000000000e-02
2.600000000000000e-02,2.600000000000000e-02,2.600000000000000e-02,9.013333333333333e-04,9.013333333333789e-04,9.013333333331569e-04,9.013333333333096e-04,9.013333333333096e-04,9.013333333334206e-04,5.002253333333333e-01,9.013333333339202e-04,True,2.600000000000000e-02
2.700000000000000e-02,2.700000000000000e-02,2.700000000000000e-02,9.719999999999999e-04,9.719999999999902e-04,9.719999999998688e-04,9.720000000001394e-04,9.720000000001394e-04,9.719999999999174e-04,5.002430000000000e-01,9.720000000003757e-04,True,2.700000000000000e-02
2.800000000000000e-02,2.800000000000000e-02,2.800000000000000e-02,1.045333333333333e-03,1.045333333333339e-03,1.045333333333558e-03,1.045333333333454e-03,1.045333333333454e-03,1.045333333333454e-03,5.002613333333333e-01,1.045333333333731e-03,True,2.800000000000000e-02
2.900000000000000e-02,2.900000000000000e-02,2.900000000000000e-02,1.121333333333333e-03,1.121333333333321e-03,1.121333333333217e-03,1.121333333333530e-03,1.121333333333530e-03,1.121333333333696e-03,5.002803333333333e-01,1.121333333333641e-03,True,2.900000000000000e-02
3.000000000000000e-02,3.000000000000000e-02,3.000000000000000e-02,1.200000000000000e-03,1.200000000000045e-03,1.200000000000041e-03,1.199999999999923e-03,1.199999999999923e-03,1.200000000000201e-03,5.003000000000000e-01,1.200000000000201e-03,True,3.000000000000000e-02
3.100000000000000e-02,3.100000000000000e-02,3.100000000000000e-02,1.281333333333333e-03,1.281333333333291e-03,1.281333333333516e-03,1.281333333333523e-03,1.281333333333523e-03,1.281333333333412e-03,5.003203333333334e-01,1.281333333333662e-03,True,3.100000000000000e-02
