p,scenario,trial,seed,n_transmissions,sifted_bits,qber,reference_qber,difference_from_reference
0.01,single,1,803805062,1000,483,0.010351966873706004,0.006666666666666656,0.003685300207039348
0.01,single,2,868791525,1000,500,0.006,0.006666666666666656,-0.0006666666666666557
0.01,single,3,2835962535,1000,509,0.0019646365422396855,0.006666666666666656,-0.00470203012442697
0.01,single,4,3125616926,1000,494,0.010121457489878543,0.006666666666666656,0.003454790823211887
0.01,single,5,4107846187,1000,505,0.0039603960396039604,0.006666666666666656,-0.0027062706270626954
0.01,single,6,3802774572,1000,520,0.013461538461538462,0.006666666666666656,0.0067948717948718065
0.01,single,7,121517946,1000,452,0.00663716814159292,0.006666666666666656,-2.9498525073735557e-05
0.01,single,8,648414525,1000,491,0.0,0.006666666666666656,-0.006666666666666656
0.01,single,9,2743978601,1000,509,0.003929273084479371,0.006666666666666656,-0.002737393582187285
0.01,single,10,404225113,1000,487,0.002053388090349076,0.006666666666666656,-0.00461327857631758
0.01,single,11,2685925909,1000,494,0.008097165991902834,0.006666666666666656,0.0014304993252361783
0.01,single,12,3142262717,1000,504,0.001984126984126984,0.006666666666666656,-0.004682539682539672
0.01,single,13,1675209178,1000,491,0.012219959266802444,0.006666666666666656,0.005553292600135788
0.01,single,14,2586040851,1000,493,0.008113590263691683,0.006666666666666656,0.0014469235970250276
0.01,single,15,209389404,1000,497,0.006036217303822937,0.006666666666666656,-0.0006304493628437186
0.01,single,16,592185738,1000,504,0.003968253968253968,0.006666666666666656,-0.002698412698412688
0.01,single,17,2974120664,1000,504,0.007936507936507936,0.006666666666666656,0.0012698412698412802
0.01,single,18,4178011205,1000,509,0.009823182711198428,0.006666666666666656,0.003156516044531772
0.01,single,19,2998517284,1000,520,0.0057692307692307696,0.006666666666666656,-0.0008974358974358863
0.01,single,20,1797420667,1000,475,0.00631578947368421,0.006666666666666656,-0.00035087719298244543
0.01,single,21,1103674084,1000,502,0.00199203187250996,0.006666666666666656,-0.004674634794156696
0.01,single,22,3678485691,1000,506,0.001976284584980237,0.006666666666666656,-0.004690382081686419
0.01,single,23,3013591546,1000,491,0.014256619144602852,0.006666666666666656,0.007589952477936196
0.01,single,24,4213390682,1000,500,0.006,0.006666666666666656,-0.0006666666666666557
0.01,single,25,2300416532,1000,493,0.002028397565922921,0.006666666666666656,-0.004638269100743735
0.01,single,26,2036609129,1000,462,0.004329004329004329,0.006666666666666656,-0.002337662337662327
